y,x,mass,size,ecc,signal,raw_mass,ep,frame,t,True_particle,vial
59.04,152.33,113,46120,0.416,10.18,113,0.1,0,0.0,False,0.0
346.02,597.33,138,46120,0.534,13.44,138,0.1,0,0.0,False,0.0
345.97,148.84,153,46120,0.489,13.44,153,0.0,0,0.0,False,0.0
345.02,719.87,252,46120,0.513,24.43,252,0.0,0,0.0,False,0.0
342.94,34.83,160,46120,0.473,14.25,160,0.0,0,0.0,False,0.0
341.23,218.09,787,46120,0.313,81.04,787,0.0,0,0.0,True,2.0
336.04,148.98,154,46120,0.438,13.85,154,0.0,0,0.0,False,0.0
335.0,720.0,226,46120,0.513,22.81,226,0.0,0,0.0,False,0.0
334.78,585.1,965,46120,0.37,92.44,965,0.0,0,0.0,True,5.0
329.05,318.88,947,46120,0.389,87.56,947,0.0,0,0.0,True,3.0
324.3,282.76,838,46120,0.355,81.45,838,0.0,0,0.0,True,3.0
318.13,528.47,848,46120,0.252,87.96,848,0.0,0,0.0,True,5.0
317.98,149.05,155,46120,0.453,13.44,155,0.0,0,0.0,False,0.0
312.28,342.91,635,46120,0.107,89.59,635,0.0,0,0.0,True,3.0
312.01,275.74,112,46120,0.464,9.77,112,0.1,0,0.0,False,0.0
311.01,720.14,185,46120,0.532,17.92,185,0.0,0,0.0,False,0.0
346.61,305.72,542,46120,0.425,67.6,542,0.0,0,0.0,True,3.0
348.14,179.06,576,46120,0.217,93.67,576,0.0,0,0.0,True,2.0
347.82,686.7,732,46120,0.205,103.44,732,0.0,0,0.0,True,6.0
349.3,86.02,866,46120,0.437,86.34,866,0.0,0,0.0,True,1.0
360.03,5.19,116,46120,0.43,10.18,116,0.0,0,0.0,False,0.0
354.82,663.48,667,46120,0.402,74.12,667,0.0,0,0.0,True,6.0
355.08,349.52,106,46120,0.054,13.44,106,0.0,0,0.0,False,0.0
352.73,429.27,711,46120,0.497,74.93,711,0.0,0,0.0,True,4.0
351.84,453.2,965,46120,0.519,85.93,965,0.0,0,0.0,True,4.0
351.85,415.47,977,46120,0.4,85.93,977,0.0,0,0.0,True,4.0
351.89,561.24,858,46120,0.238,94.07,858,0.0,0,0.0,True,5.0
311.25,55.53,816,46120,0.501,79.41,816,0.0,0,0.0,True,1.0
350.97,533.25,700,46120,0.309,103.85,700,0.0,0,0.0,True,5.0
351.08,275.64,127,46120,0.411,13.44,127,0.1,0,0.0,False,0.0
350.15,542.21,648,46120,0.316,91.22,648,0.0,0,0.0,True,5.0
349.69,196.45,727,46120,0.326,89.19,727,0.0,0,0.0,True,2.0
350.31,50.05,807,46120,0.491,71.27,807,0.0,0,0.0,True,1.0
349.24,334.01,690,46120,0.424,82.67,690,0.0,0,0.0,True,3.0
349.45,187.91,800,46120,0.243,96.52,800,0.0,0,0.0,True,2.0
349.28,158.04,818,46120,0.414,78.6,818,0.0,0,0.0,True,2.0
351.32,463.64,883,46120,0.556,81.86,883,0.0,0,0.0,True,4.0
298.12,34.57,107,46120,0.39,10.59,107,0.0,0,0.0,False,0.0
323.44,55.64,624,46120,0.313,67.6,624,0.0,0,0.0,True,1.0
296.18,313.89,930,46120,0.352,90.82,930,0.0,0,0.0,True,3.0
200.99,150.29,149,46120,0.492,13.44,149,0.1,0,0.0,False,0.0
