y,x,mass,size,ecc,signal,raw_mass,ep,frame,t,True_particle,vial
95.01,97.33,102,16130,0.531,10.07,102,0.1,0,0.0,False,0.0
365.31,185.97,130,16130,0.663,12.7,130,0.0,0,0.0,False,0.0
365.06,167.99,102,16130,0.766,12.7,102,0.0,0,0.0,False,0.0
361.72,79.73,754,16130,0.197,97.24,754,0.0,0,0.0,True,1.0
360.71,176.37,615,16130,0.416,69.21,615,0.0,0,0.0,True,2.0
360.08,206.94,957,16130,0.216,95.93,957,0.0,0,0.0,True,2.0
359.68,46.14,910,16130,0.192,111.26,910,0.0,0,0.0,True,1.0
358.26,157.97,972,16130,0.403,94.61,972,0.0,0,0.0,True,2.0
357.67,68.13,737,16130,0.326,82.35,737,0.0,0,0.0,True,1.0
356.83,184.5,774,16130,0.314,87.17,774,0.0,0,0.0,True,2.0
356.0,97.28,117,16130,0.545,11.39,117,0.1,0,0.0,False,0.0
355.42,57.06,814,16130,0.32,86.73,814,0.0,0,0.0,True,1.0
365.65,145.71,100,16130,0.27,13.14,100,0.0,0,0.0,False,0.0
328.0,97.38,135,16130,0.495,12.26,135,0.1,0,0.0,False,0.0
339.99,97.36,147,16130,0.499,14.45,147,0.0,0,0.0,False,0.0
109.01,97.1,105,16130,0.511,10.07,105,0.1,0,0.0,False,0.0
180.0,97.36,103,16130,0.49,9.2,103,0.0,0,0.0,False,0.0
231.01,97.3,133,16130,0.526,13.14,133,0.1,0,0.0,False,0.0
242.97,97.23,122,16130,0.5,11.39,122,0.0,0,0.0,False,0.0
170.95,97.29,109,16130,0.477,10.95,109,0.1,0,0.0,False,0.0
267.93,97.25,141,16130,0.458,12.26,141,0.0,0,0.0,False,0.0
277.94,97.54,135,16130,0.434,11.83,135,0.0,0,0.0,False,0.0
298.0,97.28,192,16130,0.483,17.08,192,0.0,0,0.0,False,0.0
318.96,97.63,169,16130,0.467,15.77,169,0.1,0,0.0,False,0.0
256.03,97.15,154,16130,0.489,14.45,154,0.0,0,0.0,False,0.0
360.78,176.43,596,16130,0.432,68.85,596,0.0,1,0.033,True,2.0
365.65,145.71,100,16130,0.265,13.18,100,0.0,1,0.033,False,0.0
365.92,76.82,113,16130,0.546,13.6,113,0.0,1,0.033,False,0.0
365.48,185.84,110,16130,0.522,9.78,110,0.0,1,0.033,False,0.0
365.03,168.01,103,16130,0.761,11.9,103,0.0,1,0.033,False,0.0
362.78,96.95,106,16130,0.327,11.9,106,0.0,1,0.033,False,0.0
362.25,84.1,693,16130,0.074,105.4,693,0.0,1,0.033,True,1.0
