y,x,mass,size,ecc,signal,raw_mass,ep,frame,t,True_particle,vial
133.99,277.75,100,29050,0.549,9.75,100,0.1,0,0.0,False,0.0
342.98,146.31,145,29050,0.501,13.15,145,0.0,0,0.0,False,0.0
353.81,42.88,973,29050,0.422,87.37,973,0.0,0,0.0,True,1.0
359.02,29.7,316,29050,0.147,34.78,316,0.0,0,0.0,True,1.0
360.26,180.48,979,29050,0.108,91.61,979,0.0,0,0.0,True,2.0
360.51,304.97,269,29050,0.337,39.02,269,0.0,0,0.0,True,3.0
360.59,331.14,849,29050,0.347,91.61,849,0.0,0,0.0,True,3.0
361.07,50.57,713,29050,0.088,85.67,713,0.0,0,0.0,True,1.0
360.99,193.02,106,29050,0.652,16.12,106,0.0,0,0.0,False,0.0
361.37,214.48,686,29050,0.21,81.01,686,0.0,0,0.0,True,2.0
360.83,315.01,462,29050,0.387,70.83,462,0.0,0,0.0,True,3.0
361.74,62.1,852,29050,0.081,108.15,852,0.0,0,0.0,True,1.0
362.23,84.5,794,29050,0.492,91.19,794,0.0,0,0.0,True,1.0
362.28,203.16,860,29050,0.498,82.71,860,0.0,0,0.0,True,2.0
361.54,292.92,751,29050,0.142,102.64,751,0.0,0,0.0,True,3.0
365.08,172.88,110,29050,0.542,11.45,110,0.0,0,0.0,False,0.0
339.08,277.06,104,29050,0.474,10.18,104,0.1,0,0.0,False,0.0
335.99,23.27,110,29050,0.497,9.75,110,0.0,0,0.0,False,0.0
352.05,146.22,138,29050,0.468,13.15,138,0.0,0,0.0,False,0.0
331.07,146.84,104,29050,0.413,10.18,104,0.1,0,0.0,False,0.0
164.06,148.6,126,29050,0.424,11.88,126,0.0,0,0.0,False,0.0
180.88,148.06,111,29050,0.477,11.45,111,0.1,0,0.0,False,0.0
191.06,277.29,113,29050,0.45,9.75,113,0.0,0,0.0,False,0.0
205.94,147.98,149,29050,0.514,15.27,149,0.0,0,0.0,False,0.0
217.99,23.24,122,29050,0.531,11.45,122,0.0,0,0.0,False,0.0
331.99,208.68,657,29050,0.275,88.64,657,0.0,0,0.0,True,2.0
244.97,23.34,114,29050,0.492,10.6,114,0.0,0,0.0,False,0.0
249.03,147.33,173,29050,0.459,16.12,173,0.0,0,0.0,False,0.0
232.98,23.37,125,29050,0.509,11.45,125,0.0,0,0.0,False,0.0
284.54,218.16,842,29050,0.309,90.34,842,0.0,0,0.0,True,2.0
286.11,147.12,136,29050,0.432,14.0,136,0.0,0,0.0,False,0.0
294.99,23.22,112,29050,0.51,10.18,112,0.0,0,0.0,False,0.0
309.01,23.29,100,29050,0.501,9.75,100,0.0,0,0.0,False,0.0
308.96,146.85,151,29050,0.5,15.69,151,0.0,0,0.0,False,0.0
316.58,93.13,829,29050,0.288,90.34,829,0.0,0,0.0,True,1.0
319.99,23.15,114,29050,0.54,11.03,114,0.0,0,0.0,False,0.0
257.03,147.29,189,29050,0.499,17.81,189,0.0,0,0.0,False,0.0
361.04,193.05,106,29050,0.583,15.34,106,0.0,1,0.033,False,0.0
361.7,291.93,937,29050,0.478,89.28,937,0.0,1,0.033,True,3.0
362.28,203.1,854,29050,0.491,83.38,854,0.0,1,0.033,True,2.0
361.92,91.3,686,29050,0.156,91.64,686,0.0,1,0.033,True,1.0
361.99,82.24,962,29050,0.557,92.03,962,0.0,1,0.033,True,1.0
361.73,62.26,820,29050,0.142,100.29,820,0.0,1,0.033,True,1.0
360.85,315.01,443,29050,0.329,72.37,443,0.1,1,0.033,True,3.0
361.07,50.57,708,29050,0.09,84.95,708,0.0,1,0.033,True,1.0
359.01,29.7,318,29050,0.152,35.0,318,0.0,1,0.033,True,1.0
360.47,305.2,259,29050,0.336,38.54,259,0.0,1,0.033,True,3.0
359.44,178.68,982,29050,0.175,97.93,982,0.0,1,0.033,True,2.0
353.85,42.94,961,29050,0.416,90.46,961,0.0,1,0.033,True,1.0
336.77,206.95,861,29050,0.3,79.84,861,0.0,1,0.033,True,2.0
315.7,92.99,915,29050,0.339,92.43,915,0.0,1,0.033,True,1.0
283.02,218.28,880,29050,0.369,81.41,880,0.0,1,0.033,True,2.0
360.87,331.34,948,29050,0.36,92.03,948,0.0,1,0.033,True,3.0
363.05,292.69,868,29050,0.494,77.22,868,0.0,2,0.067,True,3.0
362.09,203.96,938,29050,0.568,84.54,938,0.0,2,0.067,True,2.0
361.94,91.29,710,29050,0.135,93.08,710,0.0,2,0.067,True,1.0
361.78,80.15,1010,29050,0.523,90.64,1010,0.0,2,0.067,True,1.0
360.9,315.08,434,29050,0.223,73.97,434,0.1,2,0.067,True,3.0
360.71,304.96,224,29050,0.358,36.58,224,0.0,2,0.067,True,3.0
361.04,193.03,105,29050,0.582,15.04,105,0.0,2,0.067,False,0.0
361.34,62.02,789,29050,0.15,103.64,789,0.0,2,0.067,True,1.0
361.53,214.81,651,29050,0.015,87.39,651,0.0,2,0.067,True,2.0
360.88,331.39,944,29050,0.347,92.26,944,0.0,2,0.067,True,3.0
359.5,177.4,909,29050,0.237,101.61,909,0.0,2,0.067,True,2.0
359.01,29.71,316,29050,0.151,34.95,316,0.0,2,0.067,True,1.0
353.9,42.95,968,29050,0.414,93.48,968,0.0,2,0.067,True,1.0
349.52,200.67,710,29050,0.209,88.2,710,0.0,2,0.067,True,2.0
313.18,92.34,889,29050,0.354,88.61,889,0.0,2,0.067,True,1.0
287.04,23.05,102,29050,0.481,8.94,102,0.1,2,0.067,False,0.0
282.13,218.44,864,29050,0.315,78.44,864,0.0,2,0.067,True,2.0
361.06,50.56,702,29050,0.092,84.13,702,0.0,2,0.067,True,1.0
359.56,30.3,369,29050,0.23,38.01,369,0.0,3,0.1,True,1.0
360.01,149.05,138,29050,0.505,13.63,138,0.1,3,0.1,False,0.0
360.69,50.95,818,29050,0.315,92.55,818,0.0,3,0.1,True,1.0
361.46,79.09,940,29050,0.475,88.42,940,0.0,3,0.1,True,1.0
361.42,175.59,754,29050,0.29,89.24,754,0.0,3,0.1,True,2.0
361.65,215.03,711,29050,0.078,93.38,711,0.0,3,0.1,True,2.0
361.01,331.91,948,29050,0.381,94.61,948,0.0,3,0.1,True,3.0
362.01,91.61,710,29050,0.193,95.44,710,0.0,3,0.1,True,1.0
362.01,205.36,864,29050,0.57,79.74,864,0.0,3,0.1,True,2.0
362.82,292.71,827,29050,0.499,76.44,827,0.0,3,0.1,True,3.0
354.14,43.14,996,29050,0.423,89.66,996,0.0,3,0.1,True,1.0
360.91,304.97,191,29050,0.405,36.77,191,0.1,3,0.1,True,3.0
347.05,149.49,131,29050,0.362,13.22,131,0.1,3,0.1,False,0.0
360.95,61.96,794,29050,0.262,105.36,794,0.0,3,0.1,True,1.0
310.37,91.07,840,29050,0.362,86.76,840,0.0,3,0.1,True,1.0
178.97,151.04,138,29050,0.544,13.63,138,0.1,3,0.1,False,0.0
194.11,150.94,109,29050,0.459,10.74,109,0.1,3,0.1,False,0.0
238.0,150.59,104,29050,0.472,9.09,104,0.0,3,0.1,False,0.0
266.0,150.07,165,29050,0.511,16.53,165,0.1,3,0.1,False,0.0
274.99,280.41,120,29050,0.461,10.74,120,0.1,3,0.1,False,0.0
281.42,218.81,815,29050,0.352,81.39,815,0.0,3,0.1,True,2.0
222.04,150.79,127,29050,0.486,12.81,127,0.0,3,0.1,False,0.0
327.99,280.1,117,29050,0.506,11.16,117,0.1,3,0.1,False,0.0
286.01,280.58,118,29050,0.467,10.33,118,0.0,3,0.1,False,0.0
296.02,149.69,133,29050,0.498,12.81,133,0.0,3,0.1,False,0.0
304.98,280.17,109,29050,0.516,10.33,109,0.1,3,0.1,False,0.0
309.02,149.77,162,29050,0.508,14.87,162,0.0,3,0.1,False,0.0
