t,x,y
0,90.93,11.35
0,46.09,2.46
0,60.54,1.67
0,82.54,1.01
0.033,91.78,15.02
0.033,46.16,2.82
0.033,60.96,1.96
0.033,83.49,1.21
0.067,91.63,16.83
0.067,46.2,2.67
0.067,59.88,1.94
0.067,83.56,1.19
0.1,90.77,19.05
0.1,46.25,2.74
0.1,59.36,2.12
0.1,83.43,1.01
0.133,92.1,18.92
0.133,46.78,2.8
0.133,75.67,2.23
0.133,60.09,2.09
0.133,83.74,0.91
0.167,92.17,20.96
0.167,46.87,2.8
0.167,59.96,2.05
0.167,84.53,0.94
0.167,75.07,0.01
0.2,92.47,24.04
0.2,47.17,2.85
0.2,59.76,2.02
0.2,85.8,1.03
0.2,74.82,0.03
0.233,93.56,27.12
0.233,47.45,2.72
0.233,60.16,2.12
0.233,87.01,1.01
0.233,75.29,0
0.267,93.78,30.65
0.267,63.62,18.31
0.267,47.7,2.82
0.267,60.7,1.07
0.267,87.01,1.01
0.267,75.17,0.01
0.3,66.16,66.17
0.3,93.86,33.18
0.3,47.6,2.83
0.3,60.51,1.07
0.3,86.82,1.03
0.3,74.82,0.03
0.333,60.94,66.14
0.333,94.26,35.78
0.333,47.71,2.81
0.333,60.7,1.07
0.333,87.01,1.01
0.333,75.29,0
0.367,94.23,37.91
0.367,52.82,33.95
0.367,47.72,2.81
0.367,60.92,1.13
0.367,86.82,1.02
0.367,75.07,0.02
0.4,94.03,41.1
0.4,62.94,21.86
0.4,89.86,18.15
0.4,48.33,2.68
0.4,61.32,1.3
0.4,74.82,0.03
0.433,94.73,43.48
0.433,84.82,38.82
0.433,75.06,12.2
0.433,51.65,3.03
0.433,63.05,1.39
0.433,75.07,0.01
0.467,94.21,44.51
0.467,80.22,27.05
0.467,52.8,3.06
0.467,63.54,1.29
0.467,75.45,0.07
0.5,93.56,45.48
0.5,71.78,31.04
0.5,70.08,17.05
0.5,53.57,3.1
0.5,64.43,1.46
0.533,66.72,49.51
0.533,92.86,46.99
0.533,66.99,36.91
0.533,56.09,3.35
0.533,65.6,1.4
0.567,68.07,72.95
0.567,91.65,48.62
0.567,66.76,38.58
0.567,57.44,2.99
0.567,67.32,1.65
0.6,66.64,76.79
0.6,89.83,50.49
0.6,66.69,40.37
0.6,59.26,2.97
0.6,68.39,1.79
0.633,66.86,77.75
0.633,88.63,52.42
0.633,67.27,44.49
0.633,60.13,2.95
0.633,70.24,2.13
0.667,66.82,79.99
0.667,86.9,54.11
0.667,66.09,49.8
0.667,60.54,3.01
0.667,73.2,1.5
0.7,66.03,83.7
0.7,85.21,56.02
0.7,67.16,51.45
0.7,60.53,2.98
0.7,75.77,1.08
0.733,65.68,87.83
0.733,84.74,56.97
0.733,67.87,54.26
0.733,60.64,2.94
0.733,77.03,0.99
0.767,64.85,90.34
0.767,83.31,58.01
0.767,68.89,57.84
0.767,70.32,3.68
0.767,60.59,2.92
0.767,77.97,0.95
0.8,63.86,94.3
0.8,69.76,59.06
0.8,82.79,58.35
0.8,70.27,3.77
0.8,60.5,2.94
0.8,78.66,1.03
0.833,63.02,98.38
0.833,81.27,59.74
0.833,70.06,59.22
0.833,70.35,3.79
0.833,60.14,2.85
0.833,78.8,1.01
0.867,62.07,102.27
0.867,80.86,60.24
0.867,69.95,59.26
0.867,70.25,3.81
0.867,60.57,2.91
0.867,78.76,1.03
0.9,61.45,105.22
0.9,79.41,60.81
