y,x,mass,size,ecc,signal,raw_mass,ep,frame,t,True_particle,vial
42.0,3.15,101,4610,0.515,10.05,101,0.0,0,0.0,False,0.0
57.15,3.09,164,4610,0.478,16.87,164,0.0,0,0.0,False,0.0
68.99,3.04,184,4610,0.511,17.59,184,0.0,0,0.0,False,0.0
87.9,3.08,136,4610,0.48,13.64,136,0.0,0,0.0,False,0.0
101.88,3.01,105,4610,0.453,10.41,105,0.1,0,0.0,False,0.0
320.8,96.74,903,4610,0.386,77.54,903,0.0,0,0.0,True,1.0
335.99,70.9,694,4610,0.363,59.95,694,0.0,0,0.0,True,1.0
350.21,96.49,813,4610,0.29,75.02,813,0.0,0,0.0,True,1.0
360.73,72.67,836,4610,0.483,77.54,836,0.0,0,0.0,True,1.0
364.14,85.53,822,4610,0.487,90.82,822,0.0,0,0.0,True,1.0
363.71,94.8,866,4610,0.244,91.54,866,0.0,0,0.0,True,1.0
363.7,86.45,882,4610,0.417,71.23,882,0.0,1,0.033,True,1.0
360.88,70.66,807,4610,0.397,94.11,807,0.0,1,0.033,True,1.0
346.35,97.14,752,4610,0.323,78.61,752,0.0,1,0.033,True,1.0
319.32,97.0,830,4610,0.337,81.93,830,0.0,1,0.033,True,1.0
233.0,53.16,102,4610,0.484,8.86,102,0.0,1,0.033,False,0.0
215.08,53.26,112,4610,0.423,10.33,112,0.0,1,0.033,False,0.0
199.96,53.71,108,4610,0.44,9.6,108,0.0,1,0.033,False,0.0
253.03,53.15,128,4610,0.419,12.18,128,0.0,1,0.033,False,0.0
318.97,97.04,884,4610,0.359,83.07,884,0.0,2,0.067,True,1.0
343.05,97.11,804,4610,0.359,77.14,804,0.0,2,0.067,True,1.0
360.79,69.68,800,4610,0.272,100.87,800,0.0,2,0.067,True,1.0
363.71,86.38,952,4610,0.447,73.58,952,0.0,2,0.067,True,1.0
360.65,67.86,743,4610,0.342,85.39,743,0.0,3,0.1,True,1.0
363.04,96.72,674,4610,0.427,73.34,674,0.0,3,0.1,True,1.0
363.35,87.94,1209,4610,0.228,77.59,1209,0.0,3,0.1,True,1.0
317.99,97.09,750,4610,0.159,90.35,750,0.0,3,0.1,True,1.0
339.16,96.95,823,4610,0.348,80.43,823,0.0,3,0.1,True,1.0
86.99,3.08,138,4610,0.504,13.46,138,0.0,3,0.1,False,0.0
100.94,3.01,106,4610,0.491,9.92,106,0.0,3,0.1,False,0.0
74.03,3.08,156,4610,0.488,15.59,156,0.0,3,0.1,False,0.0
57.06,3.09,127,4610,0.481,13.11,127,0.0,3,0.1,False,0.0
41.99,3.16,100,4610,0.508,10.28,100,0.0,3,0.1,False,0.0
363.3,87.92,1221,4610,0.248,75.61,1221,0.0,4,0.133,True,1.0
360.99,65.67,701,4610,0.561,68.18,701,0.0,4,0.133,True,1.0
363.03,96.37,716,4610,0.46,74.6,716,0.0,4,0.133,True,1.0
316.99,97.96,686,4610,0.129,86.07,686,0.0,4,0.133,True,1.0
335.05,97.37,809,4610,0.31,79.32,809,0.0,4,0.133,True,1.0
315.24,97.89,729,4610,0.119,88.96,729,0.0,5,0.167,True,1.0
331.12,97.12,795,4610,0.337,79.89,795,0.0,5,0.167,True,1.0
360.61,61.56,561,4610,0.544,58.96,561,0.0,5,0.167,True,1.0
363.29,82.15,817,4610,0.508,87.57,817,0.0,5,0.167,True,1.0
363.11,96.2,786,4610,0.463,75.71,786,0.0,5,0.167,True,1.0
360.18,56.29,657,4610,0.52,72.11,657,0.0,6,0.2,True,1.0
363.07,79.51,858,4610,0.498,97.17,858,0.0,6,0.2,True,1.0
362.43,88.41,857,4610,0.342,84.83,857,0.0,6,0.2,True,1.0
327.21,97.29,682,4610,0.324,70.56,682,0.0,6,0.2,True,1.0
57.37,2.99,102,4610,0.398,11.95,102,0.0,6,0.2,False,0.0
89.04,2.94,119,4610,0.414,12.34,119,0.0,6,0.2,False,0.0
72.03,3.04,113,4610,0.493,11.18,113,0.0,6,0.2,False,0.0
313.9,97.07,776,4610,0.093,98.33,776,0.0,6,0.2,True,1.0
266.07,52.13,102,4610,0.26,12.56,102,0.0,7,0.233,False,0.0
312.05,96.86,881,4610,0.102,103.29,881,0.0,7,0.233,True,1.0
324.79,97.94,796,4610,0.36,77.77,796,0.0,7,0.233,True,1.0
360.63,54.61,598,4610,0.358,72.91,598,0.0,7,0.233,True,1.0
362.49,88.08,912,4610,0.307,85.46,912,0.0,7,0.233,True,1.0
363.25,79.18,879,4610,0.486,93.97,879,0.0,7,0.233,True,1.0
363.26,78.88,881,4610,0.443,97.57,881,0.0,8,0.267,True,1.0
362.24,87.07,884,4610,0.458,80.53,884,0.0,8,0.267,True,1.0
311.65,95.79,899,4610,0.241,98.73,899,0.0,8,0.267,True,1.0
