y,x,frame,t,vial,2024-02-08,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,9d,003-converted
340.92,66.05,0,0.0,1,2024-02-08,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,9d,003-converte
329.79,65.95,0,0.0,1,2024-02-08,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,9d,003-converte
87.79,79.38,0,0.0,1,2024-02-08,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,9d,003-converte
29.63,67.76,0,0.0,1,2024-02-08,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,9d,003-converte
11.56,77.58,0,0.0,1,2024-02-08,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,9d,003-converte
11.41,86.32,0,0.0,1,2024-02-08,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,9d,003-converte
10.1,101.96,0,0.0,1,2024-02-08,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,9d,003-converte
9.84,35.79,0,0.0,1,2024-02-08,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,9d,003-converte
198.86,7.03,1,0.033,1,2024-02-08,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,9d,003-converte
175.97,7.15,1,0.033,1,2024-02-08,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,9d,003-converte
163.83,7.34,1,0.033,1,2024-02-08,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,9d,003-converte
148.87,7.36,1,0.033,1,2024-02-08,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,9d,003-converte
88.05,79.2,1,0.033,1,2024-02-08,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,9d,003-converte
29.76,67.69,1,0.033,1,2024-02-08,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,9d,003-converte
11.63,77.2,1,0.033,1,2024-02-08,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,9d,003-converte
10.81,87.54,1,0.033,1,2024-02-08,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,9d,003-converte
10.53,100.91,1,0.033,1,2024-02-08,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,9d,003-converte
10.0,35.74,1,0.033,1,2024-02-08,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,9d,003-converte
161.88,65.04,2,0.067,1,2024-02-08,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,9d,003-converte
