frame,ID,x,y
0,27,426.02,332.43
0,26,419.24,398.5
0,21,330.52,296.41
0,36,541.12,370.74
0,7,22.64,355.9
0,22,274.58,356.98
0,6,76.55,392.1
0,15,141.03,363.81
0,10,159.66,320.28
0,3,66.73,397.23
0,43,731.9,352.71
0,4,37.66,393.2
0,37,579.85,394.35
0,40,707.37,388.19
0,38,540.64,397.54
0,23,284.22,396.3
0,32,549.55,398.41
0,13,194.26,395.72
0,16,208.87,394.72
0,41,707.36,396.56
0,44,736.14,397.72
0,39,723.77,397.58
0,42,670.26,397.58
0,17,201.46,395.11
0,19,276.32,397.95
0,31,545.03,314.07
0,30,474.81,373.42
0,5,31.62,363.67
0,14,173.56,396.54
0,24,441.17,394.21
1,27,409.08,296.57
1,26,418.8,398.82
1,21,330.6,296.43
1,36,541.03,370.99
1,7,26.29,395.36
1,22,277.39,366.23
1,6,75.47,391.06
1,15,141.2,364.08
1,10,159.56,320.22
1,3,68.78,396.97
1,43,732.68,353.54
1,4,37.97,392.01
1,37,579.54,394.94
1,40,709.75,384.64
1,38,541.03,397.26
1,23,283.97,396.23
1,32,549.8,398.31
1,13,194.26,395.06
1,16,208.79,394.76
1,44,736.16,398.45
1,42,671.4,398.98
1,17,193.84,396.56
1,19,276.11,397.72
1,31,545.08,314.1
1,30,474.91,373.38
1,5,32.86,361.16
1,14,173.37,396.51
1,24,439.12,394.39
2,27,407.31,288.96
2,26,418.26,398.74
2,21,331.15,296.11
2,36,540.69,371.09
2,7,75.58,396.86
2,22,276.24,381.39
2,6,74.39,389.48
2,15,141.83,363.39
2,10,159.87,319.79
2,3,68.16,397.25
2,43,733.91,352.78
2,4,36.98,390.42
2,37,580.15,394.74
2,40,712.33,382.64
2,38,541.8,396.29
2,23,283.6,396.58
2,32,549.54,398.22
2,13,192.94,396.56
2,16,208.84,393.63
2,41,706.5,396.19
2,44,736.63,398.66
2,39,718.54,396.45
2,42,671.92,398.03
2,19,275.98,397.91
2,31,544.79,313.91
2,30,474.7,372.03
2,5,32.99,357.6
2,14,173.51,396.36
2,24,436.87,394.63
3,27,408.25,300.46
3,26,417.08,398.66
3,21,332.38,294.2
3,36,541.18,371.16
3,7,76.28,396.23
3,22,275.19,394.28
3,6,72.26,387.2
3,15,142.79,362.45
3,10,160.7,318.04
3,3,67.45,396.25
3,43,734.82,352.03
3,4,37.76,388.42
3,37,582.27,395.17
3,40,715.97,381.91
3,38,544.16,395.73
3,23,284.09,396.39
3,32,550.5,398.56
3,13,193.99,395.38
3,16,208.91,394.0
3,41,703.43,396.42
3,44,737.19,398.62
3,39,715.73,396.19
3,42,671.65,397.34
3,31,544.96,314.28
3,30,474.59,370.7
3,5,34.14,354.25
3,14,174.7,396.35
3,24,436.4,394.97
4,27,416.81,320.87
4,26,417.19,398.36
4,21,333.31,289.91
4,36,540.83,369.44
4,7,76.48,396.04
4,6,71.2,384.06
4,15,143.89,360.52
4,10,162.46,312.42
4,3,68.03,396.24
4,43,736.43,350.57
4,4,36.6,385.33
4,37,584.38,394.73
4,40,719.46,381.11
4,23,284.32,396.35
4,13,192.68,395.79
4,16,210.04,391.08
4,41,700.94,395.77
4,44,736.91,398.23
4,39,711.71,395.65
4,42,672.51,397.61
4,17,205.42,388.0
4,1,24.97,395.24
4,19,275.31,395.24
4,31,545.13,314.22
4,30,474.9,368.43
4,5,34.98,350.68
4,14,175.71,395.52
4,24,432.86,394.22
5,27,447.46,323.35
5,26,416.84,398.58
5,21,333.6,286.3
5,36,541.03,367.44
5,7,76.57,396.2
5,6,70.02,382.82
5,15,144.04,359.69
5,10,163.93,309.27
5,3,68.87,397.0
5,43,737.45,349.6
5,4,35.28,381.37
5,37,586.6,395.41
5,40,722.41,382.3
5,23,284.07,396.74
5,32,549.84,396.85
5,13,191.6,396.46
5,16,209.45,391.87
5,41,699.34,395.47
5,39,708.59,395.69
5,42,672.34,397.7
5,17,198.41,395.25
5,45,674.39,400.41
5,29,436.77,395.47
5,1,24.61,395.74
5,28,425.61,340.76
5,19,274.85,394.44
5,31,546.6,314.13
5,30,474.68,365.78
5,5,35.34,347.99
5,14,175.59,395.38
5,24,429.11,396.08
6,27,473.77,312.85
6,26,416.97,398.72
6,21,335.99,282.78
6,36,541.17,365.3
6,7,76.7,395.72
6,22,276.37,397.89
6,6,69.62,380.13
6,15,143.74,359.04
6,10,164.99,304.96
6,3,68.71,396.87
6,43,737.51,348.04
6,4,36.0,378.41
6,37,588.08,395.03
6,40,724.76,383.83
6,23,284.2,396.4
6,32,549.93,396.5
6,13,168.9,378.18
6,16,209.46,390.75
6,41,696.6,395.52
6,39,705.88,395.7
6,42,672.2,398.35
6,17,199.01,394.91
6,1,24.84,395.64
6,28,425.97,338.46
6,19,275.35,390.64
6,31,547.58,313.52
6,30,474.43,362.65
6,5,35.91,344.28
6,14,176.32,395.11
6,24,428.03,396.71
7,27,474.69,311.72
7,26,417.02,398.69
7,21,337.48,279.93
7,36,541.26,364.37
7,22,276.22,397.9
7,6,68.88,379.21
7,15,142.44,359.67
7,10,165.35,299.97
7,3,68.49,396.93
7,43,737.71,347.24
7,4,35.95,376.51
7,37,591.05,396.34
7,40,727.46,386.58
7,38,587.32,393.41
7,23,283.12,395.97
7,32,548.9,396.45
7,13,170.26,379.78
7,16,208.75,389.27
7,41,694.76,395.46
7,44,734.69,399.44
7,39,704.87,395.29
7,42,672.21,398.7
7,17,198.98,394.99
7,1,24.9,395.76
7,28,426.48,335.13
7,20,300.86,393.81
7,19,274.43,390.59
7,31,548.5,313.65
7,30,474.77,360.55
7,5,37.19,340.91
7,14,176.71,395.34
7,24,426.73,397.37
8,27,474.48,309.35
8,26,416.77,398.62
8,21,338.65,277.98
8,36,541.22,363.29
8,7,74.77,354.6
8,22,274.98,397.43
8,6,67.58,378.29
8,15,144.17,359.27
8,10,166.64,295.2
8,3,67.76,396.88
8,43,737.49,347.57
8,4,35.18,375.44
8,37,591.83,396.22
8,40,729.74,387.92
8,38,587.05,393.84
8,23,281.38,395.99
8,32,548.69,396.53
8,13,169.99,377.64
8,16,208.7,386.56
8,41,694.03,395.19
8,44,734.39,399.37
8,39,704.71,395.48
8,42,669.42,396.53
8,17,199.34,394.93
8,29,436.57,396.48
8,1,24.94,395.64
8,28,427.1,330.92
8,12,140.67,364.89
8,20,300.75,393.75
8,19,274.85,389.87
8,31,550.07,313.72
8,30,474.76,358.25
8,5,38.12,337.14
8,14,176.96,395.32
8,24,426.24,397.24
9,27,475.11,306.6
9,26,417.32,398.45
9,21,339.89,275.95
9,36,541.12,361.83
9,7,63.27,324.81
9,22,274.33,397.89
9,6,67.61,378.59
9,15,144.33,358.85
9,10,167.17,290.88
9,3,67.19,397.05
9,43,737.32,349.37
9,4,35.12,375.47
9,37,593.22,396.32
9,40,731.87,389.75
9,38,587.12,394.21
9,23,280.34,396.17
9,32,548.52,396.65
9,13,169.77,374.14
9,16,208.57,383.69
9,41,694.47,395.19
9,44,734.81,399.59
9,39,706.14,395.87
9,42,669.12,394.96
9,17,199.81,395.14
9,45,670.5,398.93
9,1,24.91,395.61
9,28,427.44,326.81
9,12,141.89,375.9
9,20,300.77,393.69
9,19,274.59,389.99
9,31,552.33,315.19
9,30,474.85,355.68
9,5,39.69,333.63
9,24,426.87,397.36
10,27,475.48,303.71
10,26,417.28,397.0
10,21,341.36,274.58
10,36,541.33,358.75
10,7,47.27,305.68
10,22,273.58,397.51
10,6,66.62,379.54
10,15,144.82,358.38
10,10,166.38,286.97
10,3,66.65,395.97
10,43,736.59,350.81
10,4,34.88,375.43
10,37,593.94,396.38
10,40,733.69,390.54
10,38,586.88,394.23
10,23,279.64,396.09
10,32,548.68,396.73
10,13,169.88,369.6
10,16,208.57,381.56
10,41,694.67,394.52
10,44,736.66,400.56
10,39,707.25,395.79
10,42,668.85,393.33
10,17,200.0,395.15
10,45,670.58,398.34
10,29,440.79,395.69
10,1,25.1,395.39
10,28,429.66,322.94
10,12,142.95,393.31
10,20,302.17,393.83
10,19,275.22,387.87
10,31,555.08,316.76
10,30,474.91,353.83
10,5,40.97,330.84
10,14,198.95,357.36
10,24,410.73,370.45
11,27,475.28,302.4
11,26,417.24,397.16
11,21,341.93,273.74
11,36,540.81,355.43
11,7,47.48,297.46
11,6,64.69,380.26
11,15,144.95,358.19
11,10,164.48,283.49
11,3,66.38,396.07
11,43,736.3,352.54
