frame,ID,x,y
0,1,127.17,439.8
0,2,505.51,417.86
0,3,554.62,412.98
0,4,417.58,428.7
0,5,26.49,435.7
0,6,287.73,434.62
0,7,55.16,405.12
0,8,383.58,362.19
0,9,274.48,425.66
0,10,560.36,389.45
0,11,253.67,440.73
0,12,682.89,430.69
0,13,66.4,441.8
0,14,549.77,443.16
0,15,311.32,435.99
0,16,159.04,439.43
0,17,49.7,440.27
0,18,509.25,442.47
0,19,660.76,441.25
0,20,182.85,442.07
0,21,294.18,442.77
0,22,411.15,442.67
0,23,36.3,439.83
0,24,622.08,446.04
0,25,673.71,443.87
0,26,535.7,443.17
0,27,168.68,438.32
0,28,530.49,441.9
1,1,127.09,440.68
1,2,505.45,417.89
1,3,557.54,419.86
1,4,416.93,428.6
1,5,26.7,435.82
1,6,288.5,433.81
1,7,56.36,404.41
1,8,385.05,361.02
1,9,274.75,424.48
1,10,560.03,389.07
1,11,253.61,440.97
1,12,681.87,429.29
1,13,66.52,441.88
1,14,549.33,443.27
1,15,310.72,436.1
1,16,158.39,439.29
1,17,50.54,440.26
1,18,509.04,442.31
1,19,660.03,441.72
1,20,182.75,441.7
1,21,295.33,442.83
1,22,410.44,443.07
1,23,36.47,439.89
1,24,622.62,446.12
1,25,673.17,444.13
1,26,535.16,442.83
1,27,16.37,412.61
1,28,529.15,441.45
2,1,127.5,440.26
2,2,505.38,417.96
2,3,551.25,433.38
2,4,417.17,426.88
2,5,26.66,435.59
2,6,290.43,432.82
2,7,57.29,404.06
2,8,386.72,359.59
2,9,275.59,422.79
2,10,559.39,388.04
2,11,254.25,440.66
2,12,682.44,428.88
2,13,66.48,441.89
2,14,549.72,443.2
2,15,309.83,436.0
2,16,157.72,439.42
2,17,50.45,440.27
2,18,509.21,442.53
2,19,659.59,442.59
2,20,180.21,433.06
2,21,291.98,442.96
2,22,413.81,441.92
2,23,36.46,439.82
2,24,622.85,446.08
2,25,674.98,444.02
2,26,532.08,442.08
2,29,430.26,442.93
3,1,127.92,439.65
3,2,505.46,417.73
3,3,557.52,439.11
3,4,416.9,424.14
3,5,27.33,434.8
3,6,292.23,432.02
3,7,57.81,403.86
3,8,388.18,357.92
3,9,276.49,421.18
3,10,558.96,386.11
3,11,254.69,440.42
3,12,682.56,428.23
3,13,66.3,441.77
3,14,550.11,443.36
3,15,308.71,435.85
3,16,157.97,439.54
