confidence,min_matching,brownian_pos_noise,lost_track_buffer,asso_func,vial_count_error,per_id_coverage_loss,short_track_count,per_frame_id_variance
0.1,0.01,1.0,30,diou,14.0,191.04651162790697,2,15.290391025063158
0.1,0.01,1.0,30,giou,9.0,199.6304347826087,3,15.266766369003554
0.1,0.01,1.0,60,diou,9.0,184.65853658536585,0,15.294882335665097
0.1,0.01,1.0,60,giou,7.0,194.0681818181818,2,15.272582770934948
0.1,0.01,1.0,90,diou,9.0,184.65853658536585,0,15.294882335665097
0.1,0.01,1.0,90,giou,7.0,194.0681818181818,2,15.272582770934948
0.1,0.01,1.0,120,diou,9.0,184.65853658536585,0,15.294882335665097
0.1,0.01,1.0,120,giou,7.0,194.0681818181818,2,15.272582770934948
0.1,0.01,1.0,180,diou,9.0,184.65853658536585,0,15.294882335665097
0.1,0.01,1.0,180,giou,7.0,194.0681818181818,2,15.272582770934948
0.1,0.01,1.0,240,diou,9.0,184.65853658536585,0,15.294882335665097
0.1,0.01,1.0,240,giou,7.0,194.0681818181818,2,15.272582770934948
0.1,0.01,3.0,30,diou,14.0,191.02325581395348,2,15.287676661675352
0.1,0.01,3.0,30,giou,9.0,199.58695652173913,3,15.264671207975564
0.1,0.01,3.0,60,diou,9.0,184.6341463414634,0,15.29216797227729
0.1,0.01,3.0,60,giou,7.0,194.02272727272725,2,15.27048760990696
0.1,0.01,3.0,90,diou,9.0,184.6341463414634,0,15.29216797227729
0.1,0.01,3.0,90,giou,7.0,194.0681818181818,2,15.274986937974841
0.1,0.01,3.0,120,diou,9.0,184.6341463414634,0,15.29216797227729
0.1,0.01,3.0,120,giou,7.0,194.0681818181818,2,15.274986937974841
0.1,0.01,3.0,180,diou,9.0,184.6341463414634,0,15.29216797227729
0.1,0.01,3.0,180,giou,7.0,194.0681818181818,2,15.274986937974841
0.1,0.01,3.0,240,diou,9.0,184.6341463414634,0,15.29216797227729
0.1,0.01,3.0,240,giou,7.0,194.0681818181818,2,15.274986937974841
0.1,0.01,5.0,30,diou,12.0,191.02325581395348,2,15.287676661675352
0.1,0.01,5.0,30,giou,9.0,199.58695652173913,3,15.264671207975564
0.1,0.01,5.0,60,diou,9.0,184.6341463414634,0,15.29216797227729
0.1,0.01,5.0,60,giou,7.0,194.02272727272725,2,15.27048760990696
0.1,0.01,5.0,90,diou,9.0,184.6341463414634,0,15.29216797227729
0.1,0.01,5.0,90,giou,7.0,194.0681818181818,2,15.274986937974841
0.1,0.01,5.0,120,diou,9.0,184.6341463414634,0,15.29216797227729
0.1,0.01,5.0,120,giou,7.0,194.0681818181818,2,15.274986937974841
0.1,0.01,5.0,180,diou,9.0,184.6341463414634,0,15.29216797227729
0.1,0.01,5.0,180,giou,7.0,194.0681818181818,2,15.274986937974841
0.1,0.01,5.0,240,diou,9.0,184.6341463414634,0,15.29216797227729
0.1,0.01,5.0,240,giou,7.0,194.0681818181818,2,15.274986937974841
0.1,0.01,10.0,30,diou,12.0,191.0,2,15.28829586403517
0.1,0.01,10.0,30,giou,9.0,199.58695652173913,3,15.264671207975564
0.1,0.01,10.0,60,diou,9.0,184.609756097561,0,15.292787174637109
0.1,0.01,10.0,60,giou,7.0,194.02272727272725,2,15.27048760990696
