,id11,id110,id121,id135,id140,id16,id20,id23,id25,id31,id36,id43,id5,id72,id79,id95
id11,,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0
id110,,,,,,,,,,,,,,,,
id121,,,,0.0,0.0,,,,,,,,,,,
id135,,,,,,,,,,,,,,,,
id140,,,,,,,,,,,,,,,,
id16,,0.0,0.0,0.0,0.0,,,,,,,,,,,
id20,,,,0.0,0.0,,,,,,,,,,,
id23,,,,,,,,,,,,,,,,
id25,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
id31,,,,,,,,,,,,,,,,
id36,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,0.0
id43,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0
id5,,,,,0.0,,,,,,,,,,,
id72,,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0
id79,,,,,,,,,,,,,,,,
id95,,0.0,0.0,0.0,0.0,,,,,,,,,,,
