,id1,id109,id119,id15,id155,id167,id2,id209,id210,id39,id4,id44,id7,id8,id84,id92,id97
id1,,,,,,,,,,,,,,,,,
id109,,,,,,,,,,,,,,,,,
id119,,0.0,,,0.0,0.0,,0.0,0.0,,,,,,,,
id15,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0
id155,,0.0,,,,,,0.0,0.0,,,,,,,,
id167,,0.0,,,,,,0.0,0.0,,,,,,,,
id2,,,,,,,,,,,,,,,,,
id209,,0.0,,,,,,,,,,,,,,,
id210,,0.0,,,,,,,,,,,,,,,
id39,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,,,0.0,0.0,0.0
id4,,0.0,,,0.0,0.0,,0.0,0.0,,,,,,,,
id44,,0.0,,,,,,0.0,0.0,,,,,,,,
id7,,,,,,,,,,,,,,,,,
id8,,,,,,,,,,,,,,,,,
id84,,0.0,,,,0.0,,0.0,0.0,,,,,,,,
id92,,0.0,,,,,,,,,,,,,,,
id97,,,,,,,,,,,,,,,,,
