frame,id1,id2,id3,id4,id5,id6,id7,id8,id9,id10,id11,id12,id13,id14,id15,id16,id17,id18,id19,id20,id21,id22,id23,id24,id25,id26,id27,id28,id29,id30,id31,id32,id33,id34,id35,id36,id37,id38,id39,id40,id41,id42,id43,id44,id45,id46,id47,id50,id51,id53,id57,id61,id71,id72,id78,id79,id82,id83,id84,id89,id92,id95,id97,id99,id104,id109,id110,id113,id119,id121,id122,id123,id129,id130,id132,id135,id140,id145,id154,id155,id163,id164,id166,id167,id183,id185,id195,id200,id201,id204,id209,id210,id214
0,"(505.35, 349.96)","(515.61, 340.63)","(618.74, 343.57)","(542.59, 275.96)","(64.54, 315.25)","(153.11, 304.07)","(522.27, 317.25)","(540.02, 351.73)","(187.12, 262.62)","(422.05, 254.33)","(68.61, 261.30)","(148.87, 336.42)","(307.96, 275.54)","(651.45, 349.45)","(554.81, 284.86)","(57.43, 348.70)","(292.95, 279.94)","(270.98, 334.52)","(172.02, 348.79)","(43.00, 227.08)","(297.96, 347.85)","(259.90, 347.67)","(63.82, 346.99)","(310.18, 347.78)","(26.77, 347.00)","(414.99, 351.87)","(391.53, 350.99)","(389.11, 346.59)","(380.32, 349.61)","(130.91, 348.76)","(9.70, 347.05)","(407.47, 351.71)","(630.65, 348.36)","(627.14, 350.88)","(626.34, 351.18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"(505.58, 349.93)","(515.90, 339.91)",,"(543.64, 275.09)","(65.31, 314.71)","(153.34, 302.96)","(521.93, 316.53)","(539.96, 351.64)","(187.17, 259.27)",,,"(148.99, 335.28)","(307.73, 275.03)",,,"(55.76, 349.09)","(293.12, 279.71)",,"(171.92, 348.64)","(42.80, 224.78)","(298.30, 347.78)","(259.95, 347.49)","(61.26, 347.05)","(310.67, 347.90)","(26.61, 347.00)","(414.80, 351.79)","(391.89, 350.53)",,"(380.54, 349.44)","(130.87, 348.78)","(9.47, 347.11)","(407.47, 351.73)","(629.57, 348.80)",,,"(61.85, 279.81)","(284.42, 321.94)","(425.30, 253.67)","(556.04, 306.38)","(622.79, 349.76)","(646.51, 341.96)","(395.05, 342.93)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"(505.52, 349.94)","(515.84, 339.90)",,"(544.68, 274.01)","(65.92, 314.67)","(153.59, 302.42)","(522.56, 314.56)","(540.34, 351.76)","(187.46, 256.42)",,,"(149.23, 333.75)","(307.80, 274.82)",,,"(55.39, 349.33)","(293.30, 279.81)",,"(171.45, 348.63)","(43.43, 222.94)","(298.69, 350.46)","(260.02, 347.12)","(59.65, 346.95)","(310.97, 347.53)","(23.35, 334.67)","(414.62, 351.90)","(391.62, 350.85)",,"(380.48, 349.47)","(130.54, 349.04)","(9.30, 347.42)","(407.75, 352.17)","(630.87, 348.24)",,"(626.46, 350.90)",,,"(425.42, 253.42)",,"(620.21, 350.38)",,,"(58.13, 289.73)","(558.62, 312.32)","(402.90, 344.53)","(643.75, 341.07)","(285.03, 346.30)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"(506.77, 349.77)","(515.91, 339.54)",,"(545.95, 272.89)","(66.68, 314.11)","(153.66, 301.50)","(523.58, 312.48)","(540.52, 351.71)","(187.50, 253.11)",,,"(149.63, 333.15)","(307.65, 274.60)",,,"(55.29, 349.15)","(293.24, 279.76)",,"(171.49, 348.15)","(43.10, 219.73)","(298.24, 350.83)","(259.98, 347.20)","(59.34, 346.81)","(310.85, 347.90)",,"(414.56, 349.12)","(391.85, 350.62)",,"(380.70, 349.35)","(130.45, 349.09)","(9.43, 347.27)","(407.40, 351.87)","(632.82, 348.09)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"(507.42, 349.79)","(516.23, 338.79)",,"(547.57, 271.95)","(68.02, 313.56)","(153.62, 300.65)","(523.27, 309.94)","(540.86, 351.43)","(187.36, 250.86)",,,"(149.32, 332.19)","(307.20, 274.52)",,,"(55.41, 348.97)","(293.21, 279.74)",,"(171.55, 348.23)","(43.21, 217.03)",,"(259.88, 347.16)","(59.32, 346.58)","(310.76, 347.83)",,"(415.89, 351.32)","(391.81, 350.62)",,"(380.69, 349.42)","(130.18, 349.09)","(9.31, 347.31)","(407.75, 352.22)","(631.10, 348.51)",,,,,"(425.26, 252.54)",,"(621.17, 349.94)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"(507.43, 349.97)","(516.40, 337.66)",,"(549.14, 271.22)","(68.72, 312.95)","(154.56, 299.25)","(523.48, 307.69)","(540.96, 351.47)","(187.76, 247.78)",,,"(148.40, 331.21)","(307.11, 274.41)",,,"(55.70, 347.86)","(293.29, 279.79)",,"(172.44, 348.69)","(43.33, 214.55)",,"(259.71, 347.27)",,"(311.25, 347.78)",,"(415.66, 351.34)","(391.96, 350.70)",,"(380.77, 349.49)","(130.19, 349.17)","(9.32, 347.30)","(407.79, 350.41)",,,,,,"(424.90, 251.47)",,"(621.64, 350.07)",,,,"(558.86, 311.74)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"(507.59, 350.07)","(516.52, 337.30)",,"(550.82, 271.28)","(70.12, 310.97)","(155.46, 297.40)","(523.52, 305.30)","(541.04, 351.50)","(187.79, 246.01)",,,"(148.25, 329.79)","(295.75, 268.08)",,,"(53.37, 348.20)","(293.71, 279.87)",,"(172.47, 348.78)","(43.43, 212.56)",,"(259.52, 347.32)",,"(311.56, 347.63)","(30.37, 315.71)","(416.22, 351.23)","(392.03, 350.79)",,"(380.75, 349.53)","(130.17, 349.28)","(9.29, 347.34)","(407.44, 350.33)",,,,,,"(424.55, 250.67)",,"(621.17, 349.89)",,,,"(558.64, 310.64)",,,,"(300.74, 349.07)","(280.77, 350.22)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"(507.65, 350.16)","(516.47, 336.48)",,"(551.76, 271.20)","(70.96, 309.52)","(156.23, 296.48)","(522.93, 302.84)","(541.01, 351.64)","(187.72, 243.34)",,,"(147.83, 328.38)",,,,"(51.49, 348.02)","(293.72, 279.99)",,"(172.62, 348.72)","(43.93, 211.04)",,"(259.43, 347.25)",,"(311.95, 347.80)","(30.08, 314.97)","(417.83, 351.61)","(391.93, 350.69)",,"(380.76, 349.55)","(130.00, 349.43)","(9.45, 347.43)","(407.45, 349.80)",,"(630.45, 349.03)",,,,"(424.22, 250.07)",,"(620.91, 350.35)",,,,"(558.49, 310.51)",,,,"(302.18, 348.33)","(279.73, 349.46)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"(507.60, 350.23)","(516.70, 336.07)",,"(552.70, 271.12)","(70.98, 308.64)","(157.01, 295.51)","(522.68, 300.42)","(541.16, 351.79)","(187.60, 240.99)",,,"(147.05, 327.62)",,,,"(49.77, 347.96)","(293.68, 279.89)",,"(171.48, 348.81)","(43.62, 209.01)",,"(259.40, 347.27)",,"(311.40, 347.81)","(30.14, 314.53)","(419.48, 351.88)","(391.55, 350.69)",,"(381.17, 349.48)","(129.72, 349.60)","(9.40, 347.39)","(405.24, 350.18)",,"(631.10, 348.12)",,,,"(424.36, 249.99)",,"(621.38, 350.50)",,,,"(558.48, 310.50)",,,,"(301.52, 348.61)","(279.30, 349.40)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"(507.75, 350.08)","(516.79, 336.21)",,"(553.74, 271.15)","(71.35, 307.15)","(157.47, 294.47)","(522.22, 298.03)","(541.22, 351.76)","(187.66, 239.00)",,,"(146.21, 326.67)",,,,"(48.62, 347.60)","(293.87, 279.81)",,"(170.39, 348.44)","(44.19, 206.44)",,"(259.37, 347.18)",,"(312.20, 347.80)","(30.15, 313.99)","(420.07, 352.21)","(391.84, 350.74)",,"(382.27, 349.52)","(129.56, 349.73)","(9.19, 347.45)","(406.72, 349.54)",,"(631.35, 348.37)",,,,"(424.27, 249.89)",,"(621.81, 350.81)",,,,"(558.69, 310.51)",,,,"(303.36, 347.50)","(278.63, 349.40)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"(507.82, 350.13)","(516.72, 336.18)",,"(554.64, 270.87)","(72.02, 306.18)","(158.20, 293.86)","(521.71, 295.79)","(541.25, 351.81)","(187.47, 236.81)",,,"(145.42, 325.62)",,,,"(47.14, 347.43)","(293.96, 279.84)",,"(170.06, 348.05)","(43.86, 203.29)",,"(259.30, 347.55)",,"(311.71, 347.48)","(30.46, 313.52)","(421.21, 352.19)","(392.36, 351.21)",,"(383.84, 349.72)","(129.57, 349.79)","(9.03, 347.51)","(404.76, 349.55)",,"(631.57, 349.08)",,,,"(424.26, 249.90)",,"(621.90, 350.94)",,,,"(558.63, 310.25)",,,,"(302.95, 347.72)","(278.59, 349.36)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
