frame,id1,id2,id3,id4,id5,id6,id7,id8,id9,id10,id11,id12,id13,id14,id15,id16,id17,id18,id19,id20,id22,id24,id26,id31,id34,id37,id38,id39,id45,id48,id49,id50,id51,id52,id53,id54,id55,id57,id59,id60,id61,id62,id65,id68,id69,id71,id72,id73,id74,id75
0,"(272.62, 348.17)","(24.26, 158.97)","(280.96, 191.13)","(428.36, 439.57)","(148.56, 52.80)","(289.54, 270.65)","(512.87, 369.44)","(367.17, 47.49)","(249.87, 40.31)","(474.40, 9.56)","(127.70, 289.10)","(506.58, 452.32)","(357.78, 7.86)","(534.19, 450.61)","(506.24, 366.46)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"(272.48, 348.04)","(25.11, 156.61)","(280.13, 189.71)","(428.45, 439.87)","(148.50, 51.01)","(289.53, 270.69)","(512.90, 369.42)","(367.99, 47.64)","(249.40, 40.33)","(474.39, 9.52)","(127.73, 288.40)","(506.54, 452.43)","(357.69, 7.72)","(530.45, 451.92)","(506.25, 366.48)","(478.02, 12.52)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"(272.10, 347.78)","(25.16, 154.23)","(278.93, 188.09)","(428.43, 439.87)","(148.62, 49.66)","(289.53, 270.64)","(512.92, 369.41)","(369.59, 48.49)","(248.88, 40.21)","(474.36, 9.42)","(127.88, 288.48)","(506.58, 452.40)","(357.60, 7.71)","(529.66, 451.26)","(506.26, 366.51)","(477.99, 12.37)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"(271.87, 347.80)","(25.80, 152.09)","(278.51, 186.88)","(428.45, 440.24)","(148.11, 48.02)","(289.44, 270.65)","(512.80, 369.41)","(370.80, 48.89)","(248.10, 40.68)","(474.34, 9.44)","(127.79, 288.14)","(506.59, 452.36)","(357.62, 7.75)","(529.41, 450.71)","(506.24, 366.40)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"(271.86, 348.31)","(26.50, 150.58)","(277.57, 185.83)","(428.52, 440.47)","(148.22, 46.51)","(289.46, 270.68)","(512.80, 369.38)","(372.59, 49.78)","(247.42, 41.88)","(474.34, 9.43)","(127.66, 287.62)","(506.54, 452.36)","(357.73, 7.79)","(529.29, 449.92)","(505.95, 366.24)","(477.93, 12.33)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"(271.88, 348.34)","(26.66, 149.00)","(276.58, 184.42)","(428.44, 440.68)","(148.39, 45.05)","(289.36, 270.67)","(512.80, 369.45)","(373.72, 50.54)","(246.87, 43.61)","(474.30, 9.49)","(127.65, 287.24)","(506.50, 452.40)","(357.66, 7.86)","(529.14, 449.65)","(505.95, 366.31)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"(271.73, 348.54)","(27.28, 147.20)","(275.96, 183.38)","(428.44, 440.66)","(148.36, 43.99)","(289.37, 270.63)","(512.85, 369.46)","(375.04, 51.02)","(246.74, 44.13)","(474.25, 9.50)","(127.72, 286.93)","(506.44, 452.43)","(357.76, 8.00)","(529.03, 449.27)","(505.96, 366.33)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"(271.66, 348.67)","(27.89, 145.04)","(275.22, 182.32)","(428.28, 441.19)","(148.59, 43.62)","(289.36, 270.62)","(512.84, 369.38)","(376.99, 52.07)","(246.93, 45.70)","(474.25, 9.45)","(127.71, 287.07)","(506.42, 452.46)","(357.66, 7.99)","(528.71, 449.10)","(506.02, 366.49)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"(271.42, 348.73)","(27.93, 143.61)","(273.93, 181.09)","(428.56, 441.80)","(148.69, 43.51)","(289.39, 270.61)","(512.73, 369.35)","(377.99, 52.89)","(246.90, 47.16)","(474.19, 9.50)","(127.68, 287.23)","(506.39, 452.47)","(357.62, 7.94)","(528.65, 448.78)","(506.04, 366.49)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"(271.45, 348.71)","(27.84, 141.06)","(273.17, 180.06)","(428.46, 442.21)","(148.71, 43.48)","(289.38, 270.63)","(512.65, 369.43)","(379.05, 53.58)","(247.12, 47.84)","(474.19, 9.45)","(127.77, 287.29)","(506.33, 452.44)","(357.59, 7.91)","(529.07, 448.07)","(506.34, 366.59)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"(270.91, 348.72)","(27.38, 138.97)","(272.47, 178.77)","(428.26, 442.39)","(148.70, 43.50)","(289.36, 270.65)","(512.66, 369.43)","(380.53, 54.35)","(247.66, 49.18)","(474.14, 9.39)","(128.00, 287.39)","(506.35, 452.36)","(357.59, 7.94)","(529.03, 447.13)","(506.34, 366.57)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"(270.58, 348.61)","(27.05, 136.35)","(271.46, 177.56)","(428.22, 442.61)","(148.71, 43.49)","(289.37, 270.66)","(512.63, 369.40)","(381.67, 55.24)","(247.77, 49.70)","(474.17, 9.42)","(128.17, 286.96)","(506.43, 452.30)","(357.61, 8.03)","(529.56, 445.60)","(506.32, 366.56)","(477.83, 12.20)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"(270.24, 348.54)","(26.60, 134.55)","(270.39, 176.40)","(428.09, 442.94)","(148.80, 43.49)","(289.29, 270.68)","(512.54, 369.33)","(382.79, 56.28)","(248.43, 50.71)","(474.15, 9.33)","(128.33, 286.75)","(506.42, 452.17)","(357.57, 8.07)","(529.36, 444.53)","(506.37, 366.56)","(477.89, 12.22)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"(270.27, 348.61)","(26.03, 132.32)","(269.64, 175.14)","(427.92, 443.33)","(148.84, 43.48)","(289.28, 270.65)","(512.50, 369.34)","(384.24, 57.31)","(248.97, 50.91)","(474.13, 9.30)","(128.57, 286.47)","(506.43, 452.11)","(357.56, 8.06)","(529.47, 442.97)","(506.40, 366.59)","(477.85, 12.22)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"(270.16, 348.61)","(26.18, 130.06)","(268.62, 174.03)","(427.74, 443.62)","(148.85, 43.53)","(289.28, 270.65)","(512.05, 369.28)","(385.19, 57.59)","(249.91, 50.62)","(474.10, 9.29)","(128.93, 285.70)","(506.41, 452.17)","(357.48, 8.05)","(529.65, 440.89)","(506.25, 366.49)","(477.84, 12.23)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"(270.01, 348.76)","(25.73, 128.61)","(267.55, 172.95)","(427.72, 443.72)","(148.84, 43.55)","(289.30, 270.66)","(512.00, 369.30)","(386.38, 58.23)","(250.96, 50.35)","(474.06, 9.27)","(129.41, 285.20)","(506.40, 452.15)","(357.54, 8.05)","(529.74, 440.61)","(506.27, 366.48)","(477.84, 12.27)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"(269.76, 349.07)","(25.74, 124.25)","(266.79, 171.34)","(427.71, 443.71)","(148.83, 43.51)","(289.29, 270.65)","(511.17, 368.82)","(387.20, 58.14)","(251.96, 49.86)","(474.12, 9.28)","(129.91, 284.60)","(506.39, 452.16)","(357.52, 8.02)","(529.72, 440.63)","(506.19, 366.45)","(477.88, 12.25)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"(269.76, 349.25)","(25.79, 122.74)","(265.86, 170.05)","(427.66, 443.98)","(148.71, 43.52)","(289.29, 270.65)","(511.56, 369.10)","(388.68, 58.92)","(253.27, 49.94)","(474.09, 9.36)","(130.44, 283.96)","(506.40, 452.15)","(357.64, 8.13)","(529.72, 440.20)","(506.13, 366.46)","(477.86, 12.32)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"(269.63, 349.41)","(25.62, 121.49)","(265.18, 168.88)","(427.64, 444.15)","(148.44, 43.47)","(289.32, 270.65)","(511.53, 369.06)","(389.85, 59.11)","(254.49, 49.71)","(474.13, 9.36)","(131.07, 282.73)","(506.39, 452.12)","(357.53, 8.08)","(529.67, 438.87)","(506.17, 366.45)","(477.89, 12.39)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"(269.33, 349.40)",,"(264.42, 167.60)","(427.59, 444.30)","(148.21, 43.13)","(289.29, 270.68)","(511.61, 369.07)","(391.19, 59.63)","(255.85, 48.88)","(474.12, 9.31)","(131.60, 281.59)","(506.40, 452.19)","(357.51, 8.01)","(529.72, 438.41)","(506.12, 366.47)","(477.89, 12.39)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"(269.34, 349.41)",,"(263.60, 166.32)","(427.61, 444.31)","(147.96, 42.97)","(289.29, 270.67)","(511.72, 369.13)","(392.41, 59.67)","(257.09, 48.00)","(474.14, 9.29)","(132.30, 280.66)","(506.41, 452.21)","(357.51, 8.00)","(529.90, 437.53)","(506.20, 366.53)","(477.87, 12.33)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"(269.35, 349.41)",,"(262.59, 165.14)","(427.65, 444.25)","(147.16, 42.75)","(289.29, 270.65)","(511.75, 369.14)","(393.86, 60.03)","(258.04, 46.77)","(474.14, 9.26)","(132.70, 279.71)","(506.38, 452.26)","(357.48, 7.99)","(529.80, 436.73)","(506.18, 366.38)","(477.89, 12.38)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"(269.13, 349.36)",,"(261.88, 164.09)","(427.66, 444.17)","(146.58, 42.08)","(289.29, 270.64)","(511.86, 369.24)","(394.50, 60.16)","(259.56, 45.43)","(474.16, 9.27)","(133.33, 278.81)","(506.36, 452.25)","(357.55, 8.02)","(529.76, 435.87)","(506.16, 366.37)","(477.89, 12.41)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"(268.89, 349.59)",,"(261.40, 163.45)","(427.63, 444.09)","(146.15, 41.99)","(289.29, 270.62)","(511.84, 369.32)","(395.71, 60.27)","(260.49, 44.00)","(474.16, 9.28)","(133.94, 277.71)","(506.37, 452.18)","(357.52, 7.98)","(530.08, 434.43)","(506.11, 366.35)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"(268.46, 349.84)",,"(260.26, 162.56)","(427.61, 444.02)","(145.56, 42.31)","(289.32, 270.64)","(511.64, 369.32)","(397.43, 60.13)","(259.64, 44.98)","(474.23, 9.27)","(134.39, 276.67)","(506.40, 452.12)","(357.56, 8.01)","(529.92, 433.37)","(506.15, 366.39)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"(268.15, 349.86)",,"(259.48, 161.42)","(427.58, 444.03)","(144.76, 42.33)","(289.33, 270.63)","(511.66, 369.31)","(398.36, 60.01)","(258.98, 44.28)","(474.24, 9.34)","(134.78, 275.73)","(506.38, 452.04)","(357.62, 8.06)","(529.58, 432.62)","(506.13, 366.38)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"(268.21, 350.45)",,"(258.90, 160.93)","(427.62, 444.02)","(144.06, 42.34)","(289.35, 270.62)","(511.80, 369.31)","(399.38, 59.86)","(258.64, 44.44)","(474.23, 9.31)","(135.33, 274.50)","(506.34, 452.07)","(357.55, 8.01)","(529.12, 431.31)","(506.18, 366.30)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
