frame,id1,id2,id3,id4,id5,id6,id7,id8,id9,id10,id11,id12,id13,id14,id15,id16,id17,id18,id19,id20,id21,id22,id23,id24,id25,id27,id29,id30,id31,id32,id33,id34,id35,id36,id37,id39,id41,id42,id44,id45,id47,id49,id50,id51
0,"(257.18, 387.47)","(383.48, 357.49)","(165.49, 428.11)","(15.22, 409.76)","(299.80, 379.69)","(126.25, 406.68)","(361.71, 350.45)","(58.65, 430.41)","(158.66, 331.58)","(278.43, 431.81)","(253.92, 429.11)","(129.70, 427.94)","(177.64, 428.63)","(13.75, 431.36)","(363.89, 428.19)","(378.66, 431.09)","(47.69, 429.33)","(158.37, 427.50)","(29.81, 429.73)",,,,,,,,,,,,,,,,,,,,,,,,,
1,"(257.22, 387.33)","(384.02, 355.80)","(165.80, 428.55)","(15.85, 407.45)","(300.42, 377.84)","(127.07, 403.53)","(361.93, 349.06)","(57.93, 430.35)","(158.56, 328.35)","(278.74, 431.82)","(254.25, 429.11)","(130.44, 428.48)","(177.87, 428.70)","(13.52, 431.08)","(365.07, 428.36)","(377.17, 431.71)","(47.17, 428.87)","(156.90, 427.21)",,,,,,,,,,,,,,,,,,,,,,,,,,
2,"(257.49, 387.02)","(385.70, 353.41)",,"(16.35, 404.59)","(300.46, 375.84)","(127.37, 400.52)","(362.24, 346.44)","(57.19, 430.30)","(159.09, 327.05)","(279.62, 431.78)","(254.96, 428.89)","(133.39, 428.11)","(178.30, 428.90)","(12.95, 430.40)","(365.99, 428.38)","(374.99, 430.42)","(46.99, 429.07)","(156.65, 427.41)","(29.39, 428.64)",,,,,,,,,,,,,,,,,,,,,,,,,
3,"(257.26, 386.05)","(386.78, 352.40)",,"(16.58, 402.48)","(299.84, 374.22)","(126.96, 399.53)","(360.68, 344.50)","(54.92, 430.43)","(158.58, 327.13)","(279.02, 432.02)","(254.01, 429.29)","(133.80, 427.81)","(178.50, 428.97)","(10.62, 430.14)","(365.37, 428.41)","(374.04, 430.14)","(46.17, 428.96)","(155.54, 427.12)",,,,,,,,,,,,,,,,,,,,,,,,,,
4,"(257.46, 384.63)","(388.94, 350.75)",,"(16.59, 399.00)","(300.17, 372.15)","(127.16, 397.90)","(360.64, 342.39)","(54.28, 430.41)","(158.62, 327.33)","(279.14, 432.05)","(254.03, 428.79)","(134.32, 427.74)","(178.66, 428.83)","(9.22, 429.67)","(365.73, 428.32)","(374.20, 430.08)","(45.39, 428.39)","(156.01, 427.12)","(31.66, 428.57)",,,,,,,,,,,,,,,,,,,,,,,,,
5,"(257.61, 382.71)","(390.40, 350.45)","(177.98, 382.46)","(17.71, 395.90)","(300.22, 369.44)","(126.48, 395.35)","(361.28, 339.67)","(54.56, 430.44)","(159.82, 326.24)","(279.26, 432.02)","(253.55, 429.01)","(134.90, 428.02)","(178.69, 428.41)","(8.80, 429.33)","(366.88, 428.06)","(374.65, 430.10)","(45.91, 428.37)","(156.26, 427.28)","(31.59, 428.13)",,,,,,,,,,,,,,,,,,,,,,,,,
6,"(257.02, 380.03)","(390.30, 350.36)","(177.95, 380.85)","(17.13, 393.01)","(299.87, 367.39)","(125.54, 392.86)","(360.19, 337.09)","(53.95, 430.58)","(161.89, 323.08)",,"(252.24, 429.37)","(134.25, 428.15)","(177.63, 428.44)","(10.10, 429.13)","(367.17, 428.67)","(372.02, 430.15)","(45.13, 428.94)",,"(30.85, 427.64)",,"(381.34, 433.01)",,,,,,,,,,,,,,,,,,,,,,,
7,"(257.51, 377.40)","(390.41, 350.44)","(179.36, 377.68)","(18.12, 391.47)","(299.99, 365.75)","(125.56, 389.09)","(360.26, 334.85)","(53.91, 430.59)","(164.20, 320.37)",,"(251.36, 429.47)","(134.57, 428.10)","(177.19, 428.45)","(11.57, 428.85)",,"(369.36, 429.41)","(46.35, 428.43)",,"(31.14, 427.37)",,"(380.58, 432.36)","(24.00, 431.64)","(149.54, 427.41)",,,,,,,,,,,,,,,,,,,,,
8,"(257.36, 374.99)","(390.80, 350.33)","(180.91, 373.92)","(17.92, 389.42)","(300.24, 363.23)","(125.39, 384.95)","(360.21, 331.89)","(52.54, 430.47)","(165.54, 317.50)",,"(251.43, 429.34)","(135.06, 428.04)","(177.52, 428.30)","(11.44, 428.79)",,"(366.68, 429.33)","(45.67, 426.42)",,"(32.21, 427.33)",,"(381.88, 430.59)","(24.69, 431.56)","(150.04, 427.35)",,,,,,,,,,,,,,,,,,,,,
9,"(256.18, 373.05)","(390.17, 350.35)","(181.37, 371.67)","(17.87, 387.12)","(299.76, 362.08)","(124.80, 383.11)","(359.70, 328.89)","(53.38, 430.52)","(166.72, 314.37)",,"(250.99, 429.53)","(134.61, 428.10)","(177.09, 428.43)","(11.82, 428.73)",,"(363.74, 428.91)","(45.07, 425.49)","(140.47, 391.22)","(31.99, 426.75)","(276.23, 432.99)","(383.73, 432.78)","(24.20, 431.33)","(151.15, 427.39)",,,,,,,,,,,,,,,,,,,,,
