frame,id1,id2,id3,id4,id5,id6,id7,id8,id9,id10,id11,id12,id13,id14,id15,id16,id17,id18,id19,id20,id21,id22,id23,id24,id25,id26,id27,id28,id29,id30,id31,id32,id33,id34,id35,id36,id37,id38,id39,id40,id41,id42,id43,id44,id45,id46,id47,id48,id49,id50,id51,id52,id53,id54,id55,id56,id57,id58,id59,id60,id61,id62,id63,id64,id65,id66,id67,id68,id69,id70,id71,id72,id73,id74,id75,id76,id77,id78,id79,id80,id81,id82,id83,id84,id85,id86,id87,id88,id89,id90,id91,id92,id93,id94,id95,id96
0,"(641.70, 155.59)","(293.62, 28.12)","(641.62, 164.92)","(398.46, 191.43)","(151.10, 132.41)","(164.86, 188.88)","(300.40, 134.68)","(305.87, 147.15)","(27.90, 260.46)","(531.09, 191.64)","(61.00, 55.64)","(253.89, 251.00)","(46.79, 39.85)","(562.18, 141.17)","(23.28, 28.88)","(542.01, 18.02)","(234.74, 67.57)","(73.99, 25.05)","(439.25, 447.80)","(411.68, 444.79)","(377.46, 19.25)","(304.58, 64.85)","(386.55, 446.72)","(438.02, 26.72)","(255.28, 11.09)","(479.76, 66.75)","(603.73, 67.56)","(287.41, 219.99)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"(640.76, 157.42)","(293.98, 28.04)","(641.80, 163.68)","(398.60, 191.38)","(151.11, 132.41)","(164.87, 188.85)","(299.03, 137.08)","(305.67, 146.99)","(28.62, 257.16)","(531.32, 189.74)","(61.89, 56.48)","(254.27, 250.47)","(46.86, 40.07)","(561.92, 139.51)","(23.31, 28.90)","(542.00, 18.04)","(234.70, 67.52)","(74.05, 25.00)","(439.25, 447.77)","(411.63, 444.76)","(377.45, 19.29)","(304.50, 64.85)","(386.49, 446.70)","(437.74, 27.64)","(255.34, 11.27)","(479.65, 66.84)","(603.83, 67.69)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"(639.72, 157.85)","(294.17, 27.74)","(641.87, 163.33)","(398.49, 191.18)","(151.12, 132.40)","(164.86, 188.83)","(297.85, 139.03)","(305.78, 147.01)","(28.65, 254.18)","(531.83, 187.59)","(62.59, 57.19)","(255.06, 249.80)","(46.91, 40.25)","(562.02, 137.70)","(23.25, 28.87)","(542.00, 18.10)","(234.63, 67.48)","(74.07, 24.80)","(439.28, 447.75)","(411.62, 444.73)","(377.37, 19.46)","(304.53, 64.96)","(386.46, 446.70)","(437.67, 28.02)",,"(479.60, 66.75)","(603.97, 67.64)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"(638.44, 158.85)","(294.36, 27.78)","(641.91, 163.14)","(398.50, 191.04)","(151.13, 132.41)","(164.91, 188.75)","(296.91, 140.75)","(305.76, 147.07)","(29.64, 251.41)","(532.19, 185.03)","(63.39, 57.52)","(255.97, 249.78)","(46.93, 40.49)","(562.11, 135.60)","(23.19, 28.87)","(542.03, 18.06)","(234.66, 67.52)","(74.00, 24.55)","(439.34, 447.73)","(411.65, 444.71)","(377.37, 19.32)","(304.55, 64.92)","(386.54, 446.71)","(437.74, 28.31)","(255.43, 11.22)","(479.70, 66.74)","(603.79, 67.61)","(375.76, 28.94)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"(638.01, 159.07)","(294.89, 27.41)","(641.85, 163.32)","(398.30, 190.83)","(151.06, 132.44)","(164.92, 188.71)","(295.83, 142.69)","(305.86, 147.14)","(29.67, 248.17)","(533.18, 182.62)","(63.86, 58.28)","(256.89, 249.45)","(46.90, 40.75)","(562.00, 133.50)","(23.10, 28.88)","(542.01, 18.10)","(234.85, 67.54)","(73.91, 24.10)","(439.31, 447.75)","(411.70, 444.72)","(375.72, 28.92)","(304.40, 64.96)","(386.61, 446.74)","(437.97, 31.82)","(255.55, 11.39)",,"(603.96, 67.69)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"(637.62, 159.41)","(295.35, 26.90)","(641.67, 163.38)","(398.24, 190.85)","(150.99, 132.55)","(164.91, 188.72)","(294.55, 144.90)","(305.71, 147.11)","(30.37, 245.25)","(534.55, 180.40)","(64.21, 58.35)","(258.49, 249.41)","(46.91, 40.70)","(561.97, 131.33)","(23.09, 28.88)","(541.98, 18.06)","(234.69, 67.46)","(73.95, 23.98)","(439.30, 447.73)","(411.46, 444.79)","(375.77, 28.90)","(304.30, 64.95)","(386.71, 446.72)","(437.96, 30.81)","(255.47, 11.41)","(479.84, 66.85)","(603.86, 67.69)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"(637.58, 159.32)","(295.60, 26.45)","(641.62, 163.40)","(403.85, 181.46)","(151.02, 132.57)","(164.94, 188.65)","(293.38, 146.34)","(305.68, 147.13)","(30.37, 241.92)","(536.61, 178.40)","(64.52, 59.07)","(258.49, 249.51)","(46.73, 40.65)","(561.95, 129.25)","(23.00, 28.88)","(542.03, 18.02)","(234.58, 67.28)","(74.14, 24.14)","(439.30, 447.78)","(411.41, 444.69)","(375.70, 29.03)","(304.44, 65.03)","(386.58, 446.84)","(437.97, 30.70)","(255.40, 11.41)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"(637.80, 159.70)","(296.11, 26.05)","(641.61, 163.33)","(409.24, 169.49)","(151.06, 132.58)","(164.94, 188.84)","(291.99, 148.00)","(305.61, 147.23)","(31.11, 238.49)","(538.09, 176.50)","(65.43, 60.66)","(258.51, 249.59)","(46.82, 40.59)","(561.82, 127.22)","(23.13, 28.97)","(542.01, 18.00)","(234.50, 67.27)","(74.22, 24.62)","(439.38, 447.73)","(410.97, 444.29)","(375.72, 28.95)","(304.35, 65.00)","(386.62, 446.84)","(438.02, 30.60)",,,,,,"(191.90, 21.74)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"(637.99, 160.57)","(296.64, 25.38)","(641.72, 163.25)","(410.14, 163.11)","(151.03, 132.58)","(164.90, 188.74)","(290.80, 150.10)","(305.51, 147.28)","(31.52, 235.35)","(539.53, 174.56)","(66.40, 61.62)","(258.52, 249.54)","(46.68, 40.91)","(561.93, 124.86)","(23.13, 28.99)","(542.03, 17.97)","(234.61, 67.33)","(74.27, 25.18)","(439.40, 447.66)","(410.91, 443.51)","(375.80, 28.94)","(304.34, 64.97)","(386.62, 446.70)","(437.98, 30.67)",,,,,,"(193.57, 22.33)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"(637.46, 161.78)","(297.14, 24.82)","(641.92, 161.93)","(411.38, 163.75)","(151.02, 132.54)","(164.93, 188.74)","(289.64, 152.00)","(305.48, 147.20)","(32.07, 232.15)","(540.84, 172.75)","(66.79, 62.49)","(258.68, 249.20)","(46.76, 41.03)","(562.16, 122.41)","(23.15, 28.96)","(542.05, 17.97)","(234.65, 67.29)","(74.40, 25.22)","(439.36, 447.64)","(411.14, 443.42)","(375.83, 28.97)","(304.42, 64.97)","(386.55, 446.76)","(437.90, 30.19)",,,,,,"(193.95, 22.68)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
