frame,id1,id2,id3,id4,id5,id6,id7,id8,id9,id10,id11,id12,id13,id14,id15,id16,id17,id18,id19,id20,id21,id22,id23,id24,id25,id26,id27,id28,id29,id30,id31,id32,id33,id34,id35,id36,id37,id38,id39,id40,id41,id42,id43,id44,id45,id46,id47,id48
0,"(26.50, 437.00)","(417.50, 428.50)","(384.00, 363.00)","(274.00, 426.00)","(253.50, 441.50)","(127.50, 440.00)","(67.00, 442.50)","(311.50, 437.00)","(505.50, 418.50)","(555.00, 413.00)","(55.00, 406.50)","(428.50, 443.50)","(159.00, 440.00)","(683.00, 432.00)","(549.00, 443.50)","(168.50, 439.00)","(537.00, 443.50)","(37.00, 440.50)","(560.50, 389.50)","(295.00, 443.50)","(510.00, 443.00)","(177.50, 438.50)","(530.00, 442.50)","(661.00, 442.00)","(622.00, 447.00)","(49.00, 441.00)","(409.00, 443.50)","(183.50, 442.50)","(415.50, 442.50)","(674.00, 445.00)","(637.50, 445.00)","(629.00, 444.00)",,,,,,,,,,,,,,,,
1,"(26.50, 436.50)","(417.00, 428.00)","(385.00, 362.00)","(274.50, 425.50)","(253.50, 441.50)","(127.00, 441.00)","(67.00, 442.50)","(311.00, 437.00)","(505.00, 418.50)","(557.50, 420.50)","(56.50, 405.50)","(428.50, 443.50)","(158.00, 440.00)","(682.00, 430.50)","(549.00, 443.50)","(167.00, 438.50)","(536.00, 443.50)","(36.50, 440.50)","(560.00, 389.00)","(295.50, 443.50)","(509.50, 443.00)","(176.50, 439.50)","(529.00, 442.50)","(659.50, 443.00)","(621.50, 447.00)","(50.00, 441.00)","(409.00, 443.50)","(183.50, 442.50)","(415.00, 442.50)","(674.00, 444.50)","(635.50, 445.00)","(629.00, 445.00)",,,,,,,,,,,,,,,,
2,"(26.50, 436.50)","(417.00, 426.50)","(386.50, 360.00)","(275.50, 423.50)","(254.00, 440.50)","(128.00, 441.00)","(67.00, 442.50)","(310.00, 437.00)","(505.00, 418.50)","(551.00, 434.00)","(57.50, 405.00)","(429.50, 443.50)","(158.50, 439.00)","(682.50, 429.00)","(549.00, 443.50)","(167.00, 438.50)","(534.00, 443.00)","(36.50, 440.50)","(559.50, 388.00)","(296.00, 443.50)","(509.50, 443.00)","(180.00, 434.00)","(529.00, 442.00)","(660.00, 443.00)","(621.50, 447.00)","(49.50, 441.00)","(409.50, 443.50)","(182.50, 442.50)","(415.50, 442.50)","(675.00, 444.50)","(635.50, 444.50)","(629.00, 445.50)","(290.50, 433.50)","(646.50, 443.50)","(25.00, 404.50)",,,,,,,,,,,,,
3,"(27.50, 436.00)","(416.50, 424.50)","(388.00, 359.00)","(276.50, 421.50)","(254.50, 440.50)","(130.00, 442.50)","(67.00, 442.50)","(309.00, 436.50)","(505.50, 418.50)",,"(57.50, 405.00)","(432.00, 443.50)","(158.00, 440.00)","(683.00, 429.00)","(557.50, 440.00)","(167.00, 439.00)","(534.00, 443.00)","(37.00, 441.00)","(558.50, 387.00)","(291.50, 444.00)","(509.50, 443.00)","(185.00, 435.00)","(529.00, 442.50)","(660.00, 443.00)","(621.50, 446.50)","(50.00, 441.00)","(409.50, 443.50)","(182.50, 442.50)","(415.50, 442.50)","(677.00, 444.50)","(635.50, 444.00)","(630.00, 444.50)","(292.00, 433.00)","(645.00, 443.50)","(31.00, 386.00)",,,,,,,,,,,,,
4,"(28.00, 435.50)","(415.50, 421.50)","(389.50, 357.50)","(276.50, 421.00)","(254.50, 440.50)","(130.00, 442.00)","(67.00, 442.50)","(307.50, 436.50)","(505.00, 418.50)",,"(57.50, 404.50)","(433.50, 443.50)","(157.50, 439.00)","(682.50, 429.00)","(556.00, 439.00)","(165.50, 438.50)",,"(36.50, 440.50)","(557.50, 385.00)","(291.00, 444.50)","(509.50, 443.00)",,"(530.50, 442.50)","(659.50, 444.00)","(621.50, 446.00)","(49.00, 441.50)","(409.00, 443.50)","(184.00, 442.50)","(415.50, 442.50)","(677.50, 445.00)","(635.00, 442.50)","(629.50, 444.50)","(292.50, 432.50)",,"(42.00, 368.00)","(126.50, 439.00)",,,,,,,,,,,,
5,"(28.00, 435.00)","(415.50, 419.50)","(391.50, 356.50)","(277.00, 420.00)","(255.00, 440.50)","(130.50, 442.50)","(66.50, 442.50)","(306.50, 436.50)","(505.00, 418.50)",,"(57.50, 404.50)","(435.00, 443.50)","(157.50, 439.00)","(682.50, 429.00)","(555.50, 436.50)","(165.00, 438.50)",,"(36.50, 440.50)","(556.50, 383.00)","(290.50, 444.50)","(509.50, 443.00)",,"(531.00, 442.50)","(659.50, 444.00)","(622.00, 446.00)","(48.00, 441.00)","(409.00, 443.50)","(184.00, 443.00)","(415.50, 442.50)","(677.50, 445.50)","(634.50, 443.00)","(630.00, 444.50)","(293.00, 431.50)",,"(65.50, 363.50)","(127.00, 438.50)","(265.00, 360.50)",,,,,,,,,,,
6,"(30.00, 434.00)","(414.50, 417.00)","(393.00, 356.00)","(278.50, 418.50)","(254.50, 441.50)","(132.00, 442.50)","(67.00, 442.50)","(305.50, 437.00)","(505.00, 418.50)","(549.50, 443.50)","(57.50, 404.50)","(436.00, 443.50)","(158.00, 439.00)","(683.00, 428.50)","(554.00, 435.00)","(165.00, 438.50)","(528.50, 442.50)","(36.50, 440.50)","(555.50, 381.50)","(290.50, 444.50)","(509.50, 443.00)","(180.50, 446.50)","(534.00, 442.50)","(660.50, 444.00)","(623.00, 446.00)","(47.50, 441.00)","(409.00, 443.50)","(183.00, 442.00)","(415.50, 442.50)","(678.50, 445.00)","(634.00, 442.50)","(630.00, 445.00)","(294.00, 431.50)",,"(69.50, 359.50)","(127.00, 439.50)","(275.00, 365.50)",,,,,,,,,,,
7,"(30.00, 434.00)","(414.50, 415.50)","(394.50, 355.00)","(278.50, 418.00)","(255.00, 441.00)","(133.00, 442.50)","(67.00, 442.50)","(303.50, 437.00)","(504.50, 417.50)","(549.50, 444.00)","(57.00, 403.50)","(436.00, 444.00)","(157.00, 439.50)","(683.00, 427.00)","(552.00, 433.00)","(164.00, 438.50)","(528.00, 442.00)","(36.50, 441.50)","(555.00, 380.50)","(290.00, 444.50)","(509.50, 443.00)","(179.50, 446.00)","(533.50, 442.50)","(661.50, 445.00)","(623.00, 446.00)","(47.50, 441.00)",,"(185.00, 441.00)","(414.50, 442.50)","(678.50, 445.00)","(633.00, 440.50)",,"(294.50, 431.00)",,"(69.00, 359.50)","(126.50, 440.00)","(259.50, 380.00)",,,,,,,,,,,
8,"(30.00, 434.00)","(413.50, 412.50)","(395.50, 354.50)","(279.00, 417.00)","(255.50, 441.00)","(134.00, 442.50)","(64.50, 443.00)","(301.00, 436.00)","(504.50, 417.50)","(550.50, 444.00)","(56.50, 401.50)","(436.00, 444.00)","(158.50, 439.50)","(683.00, 425.50)","(550.50, 431.50)","(164.00, 438.50)",,"(36.50, 441.50)","(553.50, 379.00)","(291.00, 444.50)","(509.50, 443.00)","(153.00, 440.00)","(531.50, 442.50)","(664.00, 444.50)","(623.50, 446.50)","(48.00, 441.00)","(408.00, 443.50)","(185.00, 442.00)","(413.00, 442.00)","(678.00, 445.50)","(633.50, 438.50)",,"(295.00, 431.00)",,"(69.50, 358.50)","(126.50, 440.00)","(267.00, 399.00)","(177.00, 442.50)",,,,,,,,,,
9,"(31.00, 433.00)","(412.50, 410.50)","(398.00, 353.50)","(280.00, 415.50)","(256.50, 441.00)","(134.50, 442.00)","(65.00, 443.00)","(299.50, 435.50)","(504.50, 417.50)","(551.50, 444.00)","(57.00, 399.50)","(434.50, 444.00)","(159.00, 439.50)","(683.00, 424.50)","(550.00, 430.50)","(164.00, 438.50)",,"(35.50, 441.50)","(553.00, 378.50)","(291.00, 444.50)","(509.50, 443.00)","(152.50, 440.00)","(532.00, 442.50)","(666.00, 445.00)","(624.00, 446.50)","(48.00, 441.00)","(409.00, 443.00)","(185.00, 442.50)",,"(677.50, 446.00)","(633.50, 435.50)",,"(295.50, 429.50)",,"(69.00, 357.50)","(127.50, 440.00)","(296.00, 416.00)","(175.50, 442.00)","(71.00, 442.50)",,,,,,,,,
