,id104,id113,id13,id154,id17,id18,id183,id185,id195,id200,id201,id204,id21,id22,id24,id37,id47,id50,id51,id57,id61,id71,id78,id83
id104,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,
id113,,,,,,,,,,,,,,,,,,,,,,,,
id13,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
id154,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,
id17,,,,,,,,,,,,,,,,,,,,,,,,
id18,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
id183,,,,,,,,,,,,,,,,,,,,,,,,
id185,,,,,,,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,
id195,,,,,,,,,,,,,,,,,,,,,,,,
id200,,,,,,,,,0.0,,,,,,,,,,,,,,,
id201,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,
id204,,,,,,,,,,,,,,,,,,,,,,,,
id21,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,
id22,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0
id24,,,,,,,,,,,,,,,,,,,,,,,,
id37,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
id47,,,,,,,,,,,,,,,,,,,,,,,,
id50,,,,,,,,,,,,,,,,,,,,,,,,
id51,,,,,,,,,,,,,,,,,,,,,,,,
id57,,,,,,,,,,,,,,,,,,,,,,,,
id61,,,,,,,,,,,,,,,,,,,,,,,,
id71,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
id78,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,
id83,,,,,,,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,
