frame,id1,id2,id3,id4,id5,id6,id7,id8,id9,id10,id11,id12,id13,id14,id15,id16,id17,id18,id19,id20,id21,id22,id23,id24,id25,id26,id27,id28,id29,id30,id31,id32,id33,id34,id35,id36,id37,id38,id39,id40,id41,id42,id43,id44,id45,id46,id47,id48,id49,id50,id51,id52,id53,id54,id55,id56,id57,id58,id59,id60,id61,id62,id63,id66,id67,id68,id69,id70,id71,id75,id77,id98,id105,id110,id111,id113,id116,id119,id122,id123,id124,id132,id133,id134,id135,id136,id142,id154,id155,id157,id158,id159,id161,id162,id163,id164,id165,id166,id168,id171,id172,id173,id175,id177,id182,id183,id184,id188,id189,id190,id191,id194,id195,id196,id197,id212,id217,id223,id225,id226,id227,id229,id235,id236,id237,id246,id247,id248,id249,id253,id254,id259,id262,id266,id267,id269,id271,id272,id278,id280,id281,id282,id283,id288,id292,id294,id296,id297,id298,id309,id318,id324,id328,id343,id346,id349,id354,id356,id376,id379,id383,id394,id395,id402,id405,id407,id411,id413,id414,id415,id417,id420,id431,id438,id441,id443,id445,id448,id450,id453,id454,id458,id463,id464,id466,id467,id471,id475,id476,id489,id490,id499,id507,id509,id510,id513,id525,id526,id528,id530,id532,id534,id538,id544,id545,id549,id552,id559
0,"(18.39, 311.59)","(283.23, 321.32)","(64.80, 291.16)","(185.83, 296.97)","(284.71, 331.03)","(7.55, 320.84)","(524.69, 347.82)","(253.30, 349.73)","(655.30, 335.43)","(610.60, 350.72)","(661.04, 349.61)","(643.15, 350.99)","(19.97, 347.82)","(395.64, 351.84)","(159.72, 347.69)","(644.40, 346.39)","(542.64, 349.44)","(58.46, 346.34)","(626.97, 349.25)","(512.29, 351.24)","(290.58, 346.85)","(33.16, 346.40)","(133.21, 349.45)","(419.36, 350.78)","(186.47, 349.58)","(404.29, 346.63)","(412.84, 351.30)","(182.02, 349.53)","(278.13, 347.15)","(144.78, 347.54)","(138.44, 347.99)","(181.98, 349.79)","(131.13, 349.73)","(21.97, 347.60)","(420.07, 350.61)","(186.33, 350.02)","(415.94, 351.78)","(519.51, 348.78)","(515.81, 350.07)","(136.96, 349.15)","(138.21, 348.14)","(147.64, 347.52)","(414.53, 350.65)","(143.34, 348.11)","(21.24, 347.11)","(280.25, 346.37)","(145.34, 347.38)","(139.28, 347.65)","(140.74, 348.31)","(521.24, 348.46)","(420.41, 350.96)","(642.53, 349.23)","(409.84, 352.40)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"(19.53, 309.09)",,"(64.56, 288.87)","(184.95, 295.27)",,"(8.50, 318.53)","(524.87, 347.78)","(253.86, 349.51)","(655.63, 332.42)","(611.15, 350.82)","(660.85, 349.25)","(644.08, 350.73)","(20.16, 347.65)","(395.55, 351.81)","(159.58, 347.73)","(645.04, 346.03)","(542.90, 349.41)","(58.68, 346.16)","(628.13, 349.42)","(512.02, 351.10)","(291.04, 346.78)","(32.03, 346.63)","(132.39, 349.46)","(419.68, 350.87)","(187.53, 349.83)","(404.78, 346.93)",,,"(277.41, 346.53)","(146.29, 347.14)","(137.33, 347.97)","(182.37, 349.73)","(130.21, 349.86)",,,,,"(518.51, 348.66)","(515.92, 349.20)","(133.84, 348.35)","(137.13, 348.23)","(147.72, 346.61)","(413.59, 350.79)","(144.32, 347.63)","(21.12, 347.11)","(279.22, 346.37)","(145.57, 347.50)",,"(141.52, 347.64)","(522.61, 349.02)","(420.47, 350.96)",,,"(293.62, 317.88)","(289.34, 352.08)","(132.31, 348.75)","(130.28, 349.03)","(276.90, 348.00)","(148.87, 347.56)","(290.71, 346.68)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"(19.90, 307.60)",,"(63.35, 285.94)","(183.71, 293.49)",,"(8.28, 317.73)","(522.24, 347.18)","(253.45, 349.67)","(654.24, 329.12)","(610.58, 350.86)","(660.26, 349.28)","(643.36, 351.01)","(19.77, 347.86)","(394.70, 351.96)","(158.66, 347.62)","(644.98, 345.91)","(542.26, 349.33)","(58.54, 346.22)","(628.48, 349.43)","(512.38, 351.01)",,"(30.09, 347.21)","(132.90, 349.43)","(419.89, 351.24)",,"(404.63, 347.19)","(414.03, 351.07)","(182.04, 349.68)","(277.28, 346.91)","(147.21, 347.65)",,,"(128.31, 349.58)",,"(419.27, 350.96)","(186.98, 349.74)",,,,,"(135.70, 348.34)","(144.87, 348.13)",,"(144.92, 347.73)","(21.45, 347.12)","(278.82, 346.79)","(145.75, 347.73)","(138.34, 348.18)","(142.35, 347.73)",,,,,"(293.32, 317.55)","(289.05, 352.35)","(133.09, 349.44)",,"(276.45, 348.01)","(149.42, 347.70)","(290.65, 347.00)","(522.64, 342.20)","(277.69, 349.15)","(282.16, 346.11)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"(20.98, 305.35)",,"(62.48, 283.50)","(182.35, 291.48)",,"(8.38, 317.00)","(521.70, 346.78)","(253.46, 349.64)","(654.25, 326.41)","(609.85, 350.80)","(660.21, 349.10)","(643.70, 350.53)","(19.57, 347.79)","(394.49, 350.79)","(157.89, 347.42)","(645.23, 345.55)","(541.69, 349.02)","(58.33, 346.18)","(629.10, 348.77)","(511.79, 350.70)",,"(29.27, 347.46)",,,,"(404.81, 347.07)",,,"(277.63, 346.84)","(148.99, 347.76)",,,"(126.42, 350.04)",,,,,,,,,,,"(146.65, 347.86)","(20.56, 347.32)","(279.10, 346.63)","(146.48, 348.31)",,"(141.91, 347.87)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"(23.19, 303.65)",,"(62.16, 281.11)","(181.36, 289.65)",,"(8.68, 317.04)",,"(253.76, 349.48)","(655.21, 323.74)",,"(660.48, 349.15)","(644.85, 350.00)","(19.78, 347.87)","(395.24, 350.25)","(157.05, 347.62)","(645.55, 345.95)","(542.08, 349.30)","(58.43, 346.06)","(630.44, 348.58)","(511.75, 351.66)",,"(27.78, 347.84)",,,,"(404.79, 347.08)","(414.68, 349.88)","(180.97, 349.57)","(277.41, 346.70)","(148.94, 347.80)",,,"(125.99, 350.15)",,"(419.16, 350.47)","(187.50, 349.12)",,,,,,,,"(146.46, 348.00)","(20.31, 347.56)","(278.84, 346.32)","(146.85, 348.17)","(140.52, 348.27)",,,,,,"(294.06, 314.72)","(289.25, 352.20)",,,"(275.25, 348.38)",,"(290.87, 346.91)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"(24.14, 301.81)",,"(60.56, 279.52)","(179.37, 287.92)",,"(8.52, 316.74)",,"(253.54, 349.62)","(654.88, 321.22)",,"(660.17, 349.24)","(644.35, 349.31)","(18.66, 348.45)","(395.96, 349.25)","(155.27, 347.44)","(644.79, 346.91)","(541.65, 349.42)","(57.49, 345.98)","(631.18, 348.10)","(511.24, 350.86)",,"(26.05, 347.50)",,,"(186.13, 348.21)","(404.53, 347.98)","(413.84, 349.74)","(180.23, 349.06)","(277.45, 346.91)","(149.76, 347.64)",,"(178.78, 350.03)","(125.86, 350.22)",,"(418.98, 350.38)","(187.24, 347.87)","(415.47, 349.47)",,,,,,,"(146.93, 347.78)","(20.70, 347.74)","(279.57, 346.34)","(146.86, 347.68)",,,,,,,"(293.97, 312.91)","(289.02, 351.92)",,,,,"(290.88, 346.94)","(523.06, 346.85)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"(26.00, 299.77)",,"(59.29, 276.63)","(177.76, 286.27)",,"(8.46, 316.52)",,"(253.47, 349.62)","(654.59, 318.58)",,"(659.86, 349.44)","(644.77, 349.23)","(18.80, 348.63)","(396.00, 349.09)","(153.39, 347.40)","(644.57, 346.09)","(541.52, 349.49)","(56.11, 346.04)","(632.10, 347.19)","(511.17, 350.82)",,"(24.76, 347.34)",,,"(185.88, 346.43)","(404.86, 344.85)",,"(180.00, 348.68)","(277.20, 346.72)",,,,"(125.29, 350.09)",,,,,,,,,,,,"(19.91, 347.53)","(278.53, 346.39)",,,,,,,"(413.09, 349.45)","(294.25, 311.19)","(288.90, 352.63)",,,,,"(289.95, 346.95)","(522.68, 347.63)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"(27.10, 298.31)",,"(58.44, 273.93)","(176.75, 284.65)",,,,"(252.73, 349.07)","(654.25, 316.77)","(610.87, 349.94)",,"(646.33, 347.91)","(19.07, 348.56)","(397.27, 348.55)","(153.20, 347.62)","(645.05, 346.59)","(541.82, 349.36)","(54.67, 346.01)","(633.60, 346.20)","(511.59, 351.06)",,"(23.81, 347.17)",,,"(186.60, 344.32)",,,"(179.98, 349.03)","(276.76, 347.19)",,,,"(125.41, 350.03)",,,,,,,,,,,,"(20.68, 347.23)","(279.18, 346.65)",,,"(145.10, 347.54)",,,,"(412.64, 349.37)","(294.41, 308.67)","(289.02, 352.61)",,,,,"(290.01, 346.90)","(522.24, 348.30)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"(27.13, 297.88)",,"(58.35, 271.28)","(175.21, 283.11)",,,,"(251.95, 348.84)","(655.43, 314.90)","(611.08, 349.79)",,"(645.59, 349.13)","(18.48, 348.61)","(397.45, 348.59)","(151.59, 347.85)",,"(541.50, 349.29)","(52.55, 346.41)","(633.35, 346.33)","(511.25, 351.23)",,"(23.43, 347.40)",,,,,,"(179.72, 349.13)","(276.20, 347.05)",,,,"(125.59, 349.58)",,,,,,,,,,,,,,,,"(145.35, 347.54)",,,,"(412.80, 349.38)","(294.37, 305.84)","(288.67, 353.08)",,,,,"(289.42, 347.36)","(521.45, 348.95)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"(28.19, 296.39)",,"(58.45, 269.02)","(173.08, 280.54)",,,,"(251.83, 348.94)","(655.75, 312.52)","(611.21, 349.72)",,"(645.29, 349.25)","(18.09, 348.43)","(397.84, 348.51)","(150.45, 348.27)",,"(540.87, 350.10)","(50.49, 346.61)","(633.34, 346.36)","(510.70, 350.67)",,"(23.07, 347.59)",,,,,,"(179.90, 349.14)","(276.42, 346.51)",,,,,,,"(185.94, 340.60)",,,,,,,,,,,,,"(146.08, 347.59)",,,"(644.30, 342.28)","(412.57, 349.46)","(293.89, 304.30)","(288.41, 353.52)",,,,,"(289.28, 348.31)","(520.51, 349.64)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
