frame,id1,id2,id3,id4,id5,id6,id7,id8,id9,id10,id11,id12,id13,id14,id15,id16,id17,id18,id19,id20,id21,id22,id23,id24,id25,id26,id27,id28,id29,id30,id31,id32,id33,id34,id35,id36,id37,id38,id39,id40,id41,id42,id43,id44,id45,id46,id47,id48,id49,id50,id51,id52,id53,id54,id55,id56,id57,id58,id59,id60,id61,id62,id63,id64,id65,id66,id67,id68,id69,id70,id71,id72,id73,id74,id75,id76,id77,id78,id79,id80,id81,id82,id83,id84,id85,id86,id88,id95,id98,id105,id110,id113,id115,id118,id120,id121,id125,id129,id133,id134,id135,id137,id148,id151,id153,id155,id162,id165,id166,id169,id170,id173,id177,id190,id197,id200,id206,id208,id209,id212,id216,id218,id221,id234,id246,id248,id249,id252,id254,id255,id260,id262,id273,id275,id276,id279,id281,id285,id288,id289,id292,id294,id301,id311,id312,id313
0,"(452.75, 318.96)","(419.50, 354.32)","(283.28, 256.52)","(420.77, 305.53)","(599.91, 360.96)","(149.53, 357.67)","(400.21, 315.11)","(722.29, 326.61)","(322.28, 358.17)","(596.25, 291.39)","(582.13, 353.39)","(137.73, 321.13)","(725.26, 360.11)","(135.17, 292.83)","(539.10, 360.30)","(401.35, 360.17)","(445.82, 357.92)","(460.67, 361.19)","(671.76, 361.09)","(52.14, 357.81)","(551.47, 359.11)","(288.96, 353.13)","(66.44, 357.47)","(163.86, 359.70)","(196.53, 355.10)","(680.87, 353.35)","(274.83, 356.21)","(7.76, 229.06)","(689.00, 359.04)","(710.36, 357.35)","(188.58, 357.96)","(283.24, 355.27)","(567.84, 359.88)","(191.17, 357.83)","(680.45, 361.06)","(278.98, 356.11)","(569.90, 359.97)","(566.29, 359.45)","(676.83, 361.45)","(321.99, 355.65)","(282.94, 355.32)","(572.15, 359.93)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"(418.02, 357.30)","(283.25, 256.63)","(421.39, 303.24)","(600.18, 362.28)","(149.99, 357.60)","(399.57, 315.28)","(721.27, 324.61)","(322.04, 358.48)",,,"(137.68, 321.42)","(725.20, 360.44)","(134.97, 293.17)","(538.54, 360.34)","(399.93, 359.81)","(450.07, 359.15)","(460.69, 361.36)","(671.58, 361.28)","(52.05, 357.82)","(552.20, 359.26)","(288.31, 355.80)","(66.49, 357.67)","(163.59, 360.68)","(196.03, 354.99)","(679.93, 353.76)","(273.96, 356.66)","(6.60, 229.69)","(688.84, 359.68)","(708.95, 358.03)",,,,,"(680.12, 361.44)",,"(570.57, 359.24)",,"(676.17, 361.56)","(322.15, 361.86)",,,"(416.85, 333.20)","(34.55, 357.53)","(594.78, 322.74)","(180.23, 357.28)","(581.17, 360.80)","(65.13, 358.30)","(284.41, 335.95)","(712.05, 358.89)","(711.93, 358.45)","(180.02, 360.64)","(197.51, 359.88)","(679.42, 361.08)","(688.61, 358.08)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,"(417.54, 357.21)","(283.02, 256.60)","(419.94, 301.92)","(600.25, 362.19)","(149.36, 357.81)","(399.44, 315.25)","(720.83, 324.27)","(321.85, 358.34)",,"(584.21, 356.28)","(137.46, 321.40)","(725.05, 360.28)","(135.00, 293.38)","(538.54, 360.34)","(400.87, 359.65)","(451.40, 358.52)","(460.19, 361.65)","(671.07, 361.36)","(51.80, 357.74)","(551.86, 359.18)",,"(65.23, 357.38)",,"(196.38, 353.11)","(680.21, 353.06)","(274.01, 356.65)","(6.93, 229.42)","(687.61, 359.33)","(708.85, 359.25)",,"(287.06, 356.23)",,,"(681.18, 361.14)",,"(570.76, 358.62)",,"(676.30, 361.63)",,,,"(416.41, 334.76)","(34.01, 357.54)",,"(178.71, 358.16)","(580.35, 360.50)","(64.79, 358.06)",,"(711.05, 359.53)",,,,"(680.88, 360.40)","(689.66, 358.92)","(304.28, 319.88)","(159.12, 354.39)","(689.38, 359.12)","(682.70, 361.56)","(149.82, 356.99)","(585.32, 355.45)","(676.81, 360.01)","(583.04, 357.60)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,"(417.77, 357.17)","(283.53, 256.11)","(418.87, 299.02)","(599.73, 362.25)","(150.36, 357.81)","(399.57, 315.16)","(721.10, 323.97)","(323.07, 357.22)",,,"(137.73, 321.78)","(724.14, 360.54)","(135.13, 293.31)","(538.48, 360.48)","(401.07, 359.69)","(450.54, 360.03)","(460.47, 361.45)","(671.48, 361.18)","(52.24, 357.90)","(552.84, 358.98)",,"(64.80, 356.87)",,"(197.50, 352.03)","(680.12, 353.30)","(274.23, 356.62)","(8.26, 227.27)","(686.87, 359.24)",,,"(286.14, 356.07)",,,"(679.86, 361.22)",,"(571.08, 356.38)",,,"(321.98, 359.99)",,,"(416.51, 334.87)","(34.49, 357.58)",,,"(581.09, 360.61)",,,"(710.13, 359.92)",,"(179.53, 358.16)",,"(680.83, 359.45)","(687.47, 359.27)",,,"(689.01, 359.17)","(683.34, 359.87)",,,"(682.77, 354.81)",,"(165.77, 341.18)","(323.73, 341.60)","(324.02, 355.27)","(553.12, 358.27)","(553.28, 356.39)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,"(417.73, 357.16)","(284.78, 253.65)","(417.81, 295.64)","(600.03, 361.87)","(150.59, 357.85)","(399.44, 315.13)","(721.06, 323.92)","(319.97, 352.73)",,,"(137.66, 319.56)","(723.85, 360.07)","(135.02, 292.76)","(536.53, 354.50)","(401.43, 359.51)","(449.96, 359.60)","(460.15, 361.46)","(671.40, 361.15)","(52.31, 356.99)","(550.92, 359.37)",,"(64.79, 356.97)",,"(197.34, 350.92)","(680.18, 353.64)","(274.38, 356.64)","(8.24, 227.31)","(684.66, 359.54)",,,,,,"(678.28, 361.05)",,"(571.49, 353.85)",,,"(320.90, 358.76)","(285.29, 355.09)",,"(416.56, 334.92)","(34.16, 357.64)",,,"(580.47, 360.59)","(65.04, 357.07)",,"(709.52, 359.51)",,"(180.00, 357.85)",,,"(685.81, 360.01)",,,"(687.68, 359.56)",,,,,,,,"(327.36, 356.79)","(551.94, 358.81)","(555.38, 360.15)","(179.26, 327.52)","(6.04, 346.08)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,"(417.61, 357.15)","(286.01, 248.92)","(416.85, 291.44)","(600.24, 362.05)","(150.30, 357.77)","(399.26, 315.40)","(720.94, 324.06)","(322.77, 350.91)",,,"(136.12, 316.70)","(722.35, 359.74)","(135.02, 292.71)",,"(401.52, 359.30)","(450.32, 359.64)","(460.11, 361.73)","(671.41, 361.06)","(54.43, 357.12)",,,"(64.56, 356.93)",,"(197.08, 350.63)","(679.86, 352.05)","(276.17, 356.09)","(7.62, 227.55)",,,,,,,,"(278.57, 354.87)","(571.37, 350.56)",,,"(321.25, 357.50)","(284.91, 354.13)",,"(416.56, 334.97)","(34.34, 357.59)",,,"(580.50, 360.59)",,,"(708.45, 359.39)",,"(180.40, 358.56)",,"(682.41, 356.16)",,,,"(686.96, 359.56)",,,,,,,,"(331.39, 356.95)","(552.34, 359.30)","(559.19, 361.62)",,,"(178.27, 319.95)","(531.94, 340.50)","(599.37, 361.87)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,"(417.80, 357.15)","(288.15, 244.02)","(417.03, 287.73)","(600.83, 361.54)","(151.25, 356.97)","(399.83, 313.67)","(721.21, 323.95)","(324.64, 352.04)",,,"(136.26, 313.32)","(722.76, 359.73)","(135.67, 292.57)",,"(402.06, 359.06)","(450.27, 359.63)","(460.23, 361.42)","(671.69, 361.21)","(54.68, 357.27)",,,"(65.06, 357.15)",,"(197.66, 349.13)","(678.39, 348.80)",,"(7.95, 227.43)","(684.58, 359.53)",,,,,,,"(278.32, 356.16)","(571.21, 347.01)",,,"(321.32, 356.37)","(284.05, 352.87)",,"(416.41, 334.99)",,,,"(580.84, 360.74)",,,"(709.16, 359.40)",,"(181.82, 357.95)",,,,,,"(687.70, 359.80)","(685.02, 356.94)",,,,,,,"(334.14, 357.59)","(552.60, 359.09)","(558.62, 361.77)",,"(7.83, 340.37)",,"(532.03, 339.99)","(600.65, 361.43)","(33.84, 344.50)","(201.77, 317.67)","(322.50, 353.54)","(333.73, 357.09)","(321.80, 359.03)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,"(417.26, 357.15)","(289.94, 238.77)","(416.53, 284.03)","(599.72, 359.99)","(154.20, 357.87)","(399.91, 313.26)","(721.19, 323.95)",,,,"(135.64, 310.29)","(722.48, 359.85)","(135.63, 292.30)",,"(403.00, 359.12)","(449.16, 358.76)","(459.12, 361.26)","(671.56, 361.39)","(54.69, 357.27)",,,"(64.24, 357.88)",,"(198.22, 347.32)","(677.07, 344.89)",,"(8.01, 227.62)",,,,"(281.78, 353.25)",,,,"(278.68, 356.59)","(571.08, 343.55)",,,"(319.04, 355.30)","(282.87, 351.30)",,"(416.45, 335.02)",,,,"(581.07, 360.81)",,,"(709.68, 359.20)",,"(181.70, 357.92)",,,,,,,"(685.71, 356.87)",,,,,,,,"(552.54, 359.02)",,,"(7.96, 340.19)",,"(531.75, 338.40)",,,,"(324.10, 357.72)","(333.14, 357.26)","(323.01, 357.55)","(29.46, 313.67)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,"(414.73, 358.06)","(293.37, 235.44)","(416.17, 280.32)","(599.28, 360.69)","(156.13, 357.85)","(399.74, 312.33)","(721.16, 324.01)",,,,"(135.22, 307.55)","(722.14, 360.01)","(135.51, 292.36)",,"(405.37, 359.44)","(446.31, 359.02)","(457.13, 361.16)","(670.96, 361.54)","(54.71, 357.25)",,,"(63.81, 358.08)",,"(197.79, 343.29)","(674.74, 341.44)",,"(7.55, 226.61)",,,,,,,,"(279.68, 355.81)","(570.29, 339.60)",,,"(316.00, 355.23)","(281.73, 348.98)",,"(416.23, 334.77)",,,,"(580.90, 360.77)",,,"(710.71, 358.96)",,"(181.56, 358.13)",,,,,,,"(686.04, 356.96)","(149.44, 357.20)",,,,,,"(331.22, 357.77)","(552.64, 358.99)",,,,,"(531.59, 336.24)",,,,,"(331.41, 358.07)","(322.13, 357.40)",,"(28.77, 293.06)","(672.87, 317.03)","(148.92, 357.46)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,"(413.39, 358.35)","(296.20, 230.43)","(416.66, 276.43)","(599.30, 359.46)","(160.07, 357.78)","(400.03, 310.87)","(720.95, 324.07)","(320.18, 356.75)",,,"(135.93, 306.40)",,"(136.43, 291.05)",,"(406.89, 359.54)","(447.63, 359.69)","(455.87, 360.76)","(671.31, 361.51)","(54.87, 357.19)",,,"(63.65, 358.00)","(161.55, 357.33)","(197.25, 340.15)","(674.12, 337.24)",,"(6.37, 223.95)",,,,,,,,"(281.03, 355.63)","(570.78, 335.30)",,,"(314.80, 354.96)","(281.28, 346.88)",,"(415.15, 334.00)",,,,"(580.81, 360.63)",,,"(710.38, 358.87)",,"(181.69, 357.82)",,,,,"(161.42, 356.87)",,"(687.96, 356.90)",,,,,,,,"(553.41, 358.12)","(558.38, 360.73)",,,,"(531.36, 332.18)",,,,"(322.81, 355.77)","(328.37, 357.79)","(321.82, 357.31)",,,,,"(664.67, 318.74)","(38.84, 278.72)","(144.10, 358.34)","(320.06, 355.89)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
