frame,id1,id2,id3,id4,id5,id6,id7,id8,id9,id10,id11,id12,id13,id14,id15,id16,id17,id18,id19,id20,id21,id22,id23,id24,id25,id26,id27,id28,id29,id30,id31,id32,id33,id34,id35,id36,id37,id38,id39,id40,id41,id42,id43,id44,id45,id46,id47,id48,id49,id50,id51,id52,id53,id54,id55,id56,id57,id58,id59,id60,id61,id62,id63,id64,id65,id66,id67,id68,id69,id70,id71,id72,id73,id74,id75,id76,id77,id78,id79,id81,id90,id92,id93,id96,id99,id100,id101,id107,id112,id113,id117,id120,id125,id129,id139,id144,id148,id154,id156,id161,id164,id166,id170,id176,id178,id185,id186,id189,id192,id203,id206,id221,id227,id229,id235,id238,id239,id253,id257,id258,id261,id264,id266,id269,id270,id271,id281,id283,id286,id292,id301,id302,id313,id315,id317,id318
0,"(569.00, 350.97)","(724.28, 361.70)","(538.89, 350.31)","(78.11, 346.07)","(149.16, 301.62)","(695.37, 359.63)","(403.96, 322.14)","(411.88, 366.44)","(325.24, 381.60)","(663.49, 338.93)","(184.18, 395.59)","(410.60, 350.29)","(272.75, 352.69)","(71.16, 397.20)","(192.83, 348.52)","(322.00, 394.80)","(668.11, 233.00)","(142.06, 324.69)","(410.23, 285.92)","(559.89, 395.69)","(338.62, 207.98)","(295.60, 393.07)","(413.31, 399.51)","(432.04, 394.07)","(704.16, 395.31)","(598.36, 395.94)","(28.54, 395.36)","(583.42, 397.98)","(46.38, 394.96)","(674.40, 398.86)","(717.91, 398.14)","(166.66, 396.18)","(10.52, 364.16)","(305.55, 393.98)","(441.90, 363.68)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"(566.73, 348.55)","(724.21, 361.66)","(538.80, 349.73)","(77.95, 346.08)","(151.02, 299.41)","(696.68, 359.17)","(403.97, 319.35)","(412.87, 362.99)","(325.21, 381.56)","(662.63, 336.50)","(185.25, 395.36)","(410.43, 348.08)","(272.16, 349.17)","(71.02, 397.20)","(194.05, 345.64)","(321.65, 394.52)","(666.98, 231.91)","(142.78, 321.24)","(411.15, 282.84)","(560.04, 395.84)",,"(295.29, 393.03)","(413.17, 399.42)","(429.16, 393.75)","(704.80, 395.51)","(597.12, 394.64)","(28.58, 395.42)","(583.23, 397.88)","(45.18, 394.92)","(674.26, 398.83)","(717.96, 398.19)","(166.52, 396.14)","(11.28, 362.09)","(304.42, 393.68)",,"(23.89, 236.24)","(325.63, 234.14)","(190.91, 397.04)","(184.48, 394.96)","(180.36, 396.95)","(71.05, 397.21)","(181.68, 396.29)","(179.97, 397.20)","(459.28, 374.77)","(322.37, 233.74)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"(565.05, 346.84)","(724.26, 361.66)","(539.18, 348.71)","(78.01, 345.34)","(153.07, 297.64)","(696.77, 358.36)","(404.26, 316.43)","(414.74, 359.62)","(325.20, 381.63)","(661.73, 334.31)","(189.80, 396.26)","(410.61, 345.74)","(271.80, 346.04)",,"(195.24, 342.89)","(321.14, 395.19)","(665.87, 231.29)","(143.54, 318.04)","(412.50, 280.15)","(560.19, 395.74)",,"(295.74, 393.24)","(413.23, 399.33)","(426.19, 394.69)","(704.94, 395.57)","(596.03, 393.26)","(28.52, 395.41)","(582.72, 398.11)","(44.27, 395.27)","(674.30, 398.89)","(718.02, 398.25)","(166.43, 396.05)",,"(306.94, 393.10)",,"(24.89, 234.32)",,"(190.52, 396.56)","(183.07, 395.09)",,,"(182.27, 395.65)",,"(458.31, 374.85)",,"(77.98, 379.73)","(338.24, 268.38)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"(563.42, 344.36)","(724.38, 361.25)","(540.23, 347.37)",,"(155.41, 295.83)","(697.53, 356.94)","(404.31, 313.02)","(416.72, 356.50)","(325.19, 381.78)","(661.34, 331.88)",,"(411.27, 343.31)","(271.33, 342.42)",,"(196.88, 339.97)",,"(664.70, 228.67)","(144.25, 315.34)","(413.77, 277.20)","(560.82, 395.65)",,"(295.32, 392.69)",,"(424.61, 394.87)","(705.00, 395.57)","(594.81, 392.13)","(29.02, 395.40)","(583.11, 398.16)","(44.46, 395.11)","(674.16, 399.03)",,"(167.17, 396.52)",,"(310.59, 393.17)",,"(27.02, 231.21)",,"(190.73, 396.69)",,,,,,"(457.26, 374.84)",,"(80.48, 380.64)","(339.03, 267.99)","(50.90, 314.31)","(421.45, 384.38)","(294.98, 397.53)","(186.92, 388.01)","(572.44, 396.88)","(717.38, 383.54)","(318.84, 383.25)","(37.65, 395.89)","(575.40, 397.18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"(562.01, 341.31)","(724.21, 361.21)","(541.27, 346.15)",,"(157.27, 295.34)","(697.56, 356.59)","(404.52, 310.09)","(418.84, 354.23)","(325.39, 381.50)","(661.27, 329.78)",,"(412.34, 340.46)","(271.13, 338.90)",,"(197.84, 337.97)",,"(664.04, 226.19)","(145.50, 312.10)","(415.91, 274.92)","(560.57, 395.82)",,"(295.33, 392.82)",,"(421.95, 394.87)","(704.84, 395.66)","(594.13, 391.13)","(28.94, 395.36)","(583.01, 398.09)","(44.44, 395.12)","(674.47, 398.97)",,"(167.14, 396.40)",,"(314.05, 393.44)",,"(28.58, 228.23)",,"(191.06, 396.60)",,,,,,"(457.31, 374.90)",,"(81.37, 380.51)","(338.95, 267.68)",,,"(294.61, 397.74)",,"(572.14, 396.84)",,,"(37.15, 396.30)","(575.04, 397.24)","(37.57, 274.27)","(306.44, 342.22)","(198.27, 376.44)","(720.31, 340.52)","(432.40, 397.14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"(559.95, 338.39)","(723.94, 361.46)","(541.93, 345.29)",,"(160.13, 294.19)","(697.44, 356.94)","(404.51, 306.34)","(421.11, 351.58)","(325.48, 381.68)","(661.29, 328.03)",,"(412.96, 337.66)","(270.99, 335.45)",,"(199.36, 335.17)",,"(663.47, 223.49)","(148.08, 309.40)","(417.72, 272.27)","(560.29, 395.92)",,"(295.39, 392.92)",,"(419.14, 395.20)",,"(592.37, 389.59)","(28.83, 395.50)","(583.03, 398.03)","(44.27, 395.19)",,,"(167.13, 396.42)",,"(316.60, 393.29)",,"(30.46, 226.12)",,"(191.65, 396.75)",,,,,,"(456.94, 375.23)",,"(81.03, 379.88)","(338.62, 266.65)",,,,,"(572.34, 396.77)",,,,"(575.05, 397.18)",,,"(197.41, 375.69)","(718.47, 337.18)","(433.39, 399.45)","(67.65, 251.77)","(300.23, 323.56)","(684.24, 370.74)","(718.68, 370.01)","(718.60, 368.20)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"(559.49, 336.50)","(724.37, 361.00)","(542.92, 344.16)",,"(163.22, 292.73)","(697.22, 356.66)","(404.86, 302.89)","(424.36, 348.84)","(325.40, 381.58)","(661.66, 326.35)",,"(414.09, 335.45)","(271.14, 331.80)",,"(200.27, 332.18)",,"(662.82, 221.06)","(150.53, 307.25)","(420.83, 269.80)","(560.08, 395.83)",,"(294.80, 393.28)",,"(416.30, 395.33)",,"(590.97, 388.15)","(28.83, 395.42)","(583.19, 398.03)","(44.32, 395.19)",,,"(166.92, 396.10)",,"(317.47, 393.45)",,"(32.23, 224.10)",,"(191.64, 396.70)",,,,,,"(456.43, 375.92)",,"(80.51, 379.28)","(337.69, 263.09)",,,,,"(573.96, 396.58)",,,"(35.74, 397.46)","(574.69, 396.68)",,,"(196.72, 372.91)","(718.70, 336.05)","(432.76, 399.63)",,"(299.76, 322.64)","(684.25, 371.08)",,,"(49.34, 260.10)","(706.51, 369.04)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"(558.27, 333.45)","(724.30, 360.69)","(543.99, 342.70)",,"(166.15, 291.03)","(698.38, 356.48)","(405.10, 299.52)","(427.12, 346.35)","(325.44, 380.94)","(662.58, 324.27)",,"(414.52, 332.75)","(270.67, 328.34)",,"(201.24, 329.55)",,"(662.63, 217.12)","(153.02, 304.81)","(422.95, 267.73)","(560.02, 395.82)",,"(295.22, 392.79)",,"(414.04, 395.87)",,"(589.34, 387.03)","(28.74, 395.39)","(583.16, 398.15)","(44.29, 395.11)",,,,,"(319.71, 394.02)",,"(34.02, 222.35)",,"(191.91, 396.71)",,,,,,"(457.40, 374.41)",,"(80.21, 376.81)","(336.25, 258.65)",,,"(288.42, 396.40)",,"(574.38, 395.90)",,,,"(575.10, 395.84)",,,"(196.69, 369.74)","(719.61, 334.05)","(432.73, 398.95)",,"(300.30, 321.06)","(683.52, 366.86)",,,,,"(699.89, 373.71)","(157.79, 358.82)","(291.35, 395.19)","(574.52, 395.37)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"(556.82, 330.07)","(724.34, 359.53)","(544.80, 340.29)",,"(168.44, 288.76)","(699.00, 354.36)","(405.35, 296.53)","(430.47, 344.25)","(324.96, 379.60)","(663.14, 322.92)",,"(416.29, 330.36)","(270.79, 325.17)",,"(202.61, 325.43)",,"(662.63, 214.25)","(155.00, 303.25)","(425.60, 265.04)","(559.58, 395.75)",,"(295.60, 392.55)",,"(412.15, 396.46)",,"(586.38, 385.73)","(29.08, 395.13)","(582.88, 398.20)","(44.11, 394.94)",,,,,"(321.16, 394.17)",,"(35.03, 220.26)",,"(191.56, 396.65)",,,,,,"(457.97, 371.44)",,"(80.08, 374.18)","(335.39, 254.74)",,,,,,,,"(36.42, 396.61)",,,,"(195.26, 365.88)","(719.39, 331.06)","(431.54, 398.59)",,"(301.19, 318.17)","(682.88, 362.95)",,,,,,,"(289.61, 395.57)","(572.11, 395.08)","(156.48, 351.72)","(692.76, 380.87)","(35.92, 313.85)","(37.11, 396.14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"(555.42, 327.08)","(722.87, 358.05)","(546.46, 337.93)",,"(170.76, 286.51)","(699.93, 352.27)","(405.46, 293.19)","(433.23, 342.58)","(325.14, 378.38)","(663.83, 321.00)",,"(417.16, 327.34)","(270.40, 321.75)",,"(203.73, 322.56)",,"(662.19, 211.51)","(156.82, 300.91)","(427.99, 262.89)","(559.28, 395.57)",,"(296.04, 392.24)",,"(410.69, 396.85)",,"(585.30, 384.34)","(29.64, 394.75)","(582.94, 398.30)","(40.72, 395.46)",,,,,"(321.83, 394.41)",,"(36.73, 218.02)",,"(192.00, 396.74)",,,,,,"(458.70, 368.64)",,"(79.49, 371.18)","(334.68, 250.71)",,,,,,,,,,,,"(196.59, 361.24)","(720.17, 327.99)","(431.06, 398.71)",,"(301.75, 314.50)","(683.74, 358.46)",,,,,,,"(287.85, 395.95)","(569.99, 393.99)",,,,,"(41.18, 337.35)","(673.92, 394.55)","(161.85, 391.88)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
